	F0	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22	F23	F24	F25	F26	F27	F28	F29	F30	F31	F32	F33	F34	F35	F36	F37	F38	F39	F40	F41	F42	F43	F44	F45	F46	F47	F48	F49	F50	F51	F52	F53	F54	F55	F56	F57	F58	F59	F60	F61	F62	F63	F64	F65	F66	F67	F68	F69	F70	F71	F72	F73	F74	F75	F76	F77	F78	F79	F80	F81	F82	F83	F84	F85	F86	F87	F88	F89	F90	F91	F92	F93	F94	F95	F96	F97	F98	F99	F100
91	1.602500	1.701160	1.794830	1.803710	1.794410	1.765340	1.630400	1.979710	2.029460	2.099800	1.922820	2.006950	1.889340	1.892300	1.817650	1.922670	1.974420	2.166180	2.310870	2.433550	2.898470	2.727720	2.768910	2.861240	3.040880	2.896250	3.210340	3.571030	3.507480	3.197120	3.315380	3.025970	2.968430	2.830990	2.745050	2.719580	2.443750	2.725150	3.076960	2.795670	3.045350	3.138440	2.981400	3.221050	3.274250	3.015870	2.712050	2.888350	3.226670	3.171580	3.522460	3.131360	3.096670	2.722510	2.599830	2.553390	3.252840	3.061740	2.754410	2.367240	2.786620	2.675810	2.720580	2.714710	2.839050	3.054460	3.172430	3.177220	3.206110	3.594910	3.483860	3.220960	3.349980	3.129160	2.928580	2.947090	2.856160	2.847460	3.161760	2.878540	2.685140	3.010890	2.776250	3.338600	3.329540	2.608460	2.759930	3.151680	2.853930	2.684110	2.802590	2.899910	2.886440	2.799640	2.698240	2.602390	2.593250	2.021630	2.231620	2.212540	2.178880	
92	1.602500	1.647700	1.833090	1.691590	1.768810	1.894180	1.622710	1.679400	1.714170	1.951280	1.930150	2.081470	1.985400	1.739650	1.705500	1.660140	1.905510	2.125120	2.499630	2.978030	2.988520	3.096340	3.519830	3.110910	3.286040	3.058820	2.620080	2.416030	2.655120	2.343410	2.422030	2.785620	3.135010	2.996960	3.123880	2.913870	2.939310	2.948140	2.690250	2.864550	2.964000	2.729120	2.962110	2.566570	2.773410	3.158320	3.300580	3.056330	3.336570	3.504280	3.372840	3.252820	3.768100	2.642650	2.217840	2.252940	2.914140	2.691230	2.796220	3.673730	3.147680	2.898420	2.865630	3.219920	3.369200	2.928920	3.206330	2.907690	3.148210	3.468350	3.094770	3.217580	2.868850	2.841450	2.811690	2.678150	2.925170	2.934410	2.530350	2.286850	2.623160	2.882820	2.640400	3.100650	3.094590	3.475630	3.087390	2.862210	3.023480	2.626050	2.426660	2.763840	2.756140	2.977060	2.772210	2.806730	3.061010	2.945620	3.235420	3.038290	2.756850	
93	1.602500	1.621300	1.662970	1.641630	1.685240	1.666000	1.694820	1.740670	1.877270	1.719030	1.817670	1.925520	1.736530	1.796810	1.866750	2.014140	2.136830	2.261450	2.410000	2.485200	2.742990	2.819340	2.861180	3.264620	2.643810	3.224190	3.477580	3.208470	2.716460	2.461090	2.733680	2.688900	2.634640	1.860910	1.920910	1.879390	2.042090	1.909730	2.074840	1.869030	2.456410	2.472250	1.865180	1.905290	1.857990	1.912010	2.347900	2.389980	2.131010	2.787770	2.665880	2.973400	3.105260	2.519250	3.296650	3.258880	2.753840	3.236060	3.168000	2.637860	3.067880	2.691660	2.693380	2.694860	2.775400	2.707720	2.647330	2.856350	2.684020	3.244520	3.158430	2.601470	2.992410	2.772560	2.714550	2.726930	2.867250	2.751190	3.006590	2.609570	2.306220	2.908130	2.812910	2.844790	2.595750	2.621600	2.551940	2.408740	2.295240	2.865410	3.144860	3.037720	3.048340	3.167380	2.892080	3.283500	2.891640	2.888560	2.579930	2.429250	2.289470	
94	1.602500	1.482790	1.808760	1.696670	1.756950	1.904970	1.913210	1.949030	2.158270	1.761940	1.733110	1.777320	1.882440	1.757100	2.079370	2.207010	2.261510	2.399950	2.344240	2.121580	1.988130	1.887110	1.930490	1.921340	2.062110	2.298000	2.371470	2.501060	2.810170	2.490890	2.944560	3.428440	3.374800	2.969750	2.849570	2.608700	2.125060	2.015880	1.969660	2.112310	2.184430	2.788590	2.909210	2.530340	2.957000	2.976530	2.495840	2.526480	2.690530	2.403640	2.299120	2.318670	2.063180	2.295500	2.941670	2.927810	2.967760	3.136890	2.728560	2.284900	2.907620	3.197620	3.164280	2.754760	2.549920	2.678430	2.583760	2.095860	1.884480	2.024660	2.451500	2.364240	2.147560	2.178330	2.187980	2.584090	2.605050	2.524530	2.404670	2.260950	2.087080	2.083910	2.081930	2.452250	2.756420	2.652160	3.024670	2.692070	2.480860	2.392060	2.568950	2.174650	2.618850	2.437780	2.165120	2.509900	2.687400	3.030620	2.923110	2.963140	2.951650	
95	1.602500	1.529730	1.607970	1.632270	1.668300	1.748570	1.850560	2.065730	2.003980	2.116670	2.071510	1.822110	2.003670	1.767180	1.811040	1.853330	1.934110	1.992230	2.460690	2.247610	2.330740	2.629370	2.213860	2.205400	2.664220	2.244650	2.386900	2.271920	1.846340	1.776260	1.831190	1.951500	1.845340	1.753100	1.879270	1.719650	2.007280	1.913900	2.066610	2.014150	2.415490	2.009500	2.202340	2.306800	2.440850	2.689880	2.429240	2.544940	2.355410	2.088480	1.808080	1.645330	1.659030	1.741500	1.931210	2.000850	1.879300	1.975890	2.087390	1.880990	2.139470	3.140590	3.350780	2.930580	2.966640	3.173410	3.649130	3.103500	3.091850	3.773830	3.415510	3.298520	3.681650	3.235710	2.922040	2.690830	3.126160	2.928710	3.173370	3.508520	3.078310	3.182590	2.873180	3.034310	3.050040	2.871040	3.031710	2.835930	3.288410	2.977440	3.121830	3.691320	2.932690	2.811190	2.311950	2.191920	2.041400	2.022020	1.798380	2.058500	2.054950	
96	1.602500	1.525770	1.494280	1.756570	1.708690	1.775830	1.765160	1.544280	1.838580	1.891290	2.047230	2.452840	2.345730	2.573880	2.176530	1.836450	1.684350	1.648780	1.760720	1.900390	1.990290	1.994790	2.143020	2.113050	2.158190	2.201810	2.269570	2.466170	2.252530	2.632960	2.683010	2.818160	3.375250	2.957910	3.449760	2.803730	2.927330	2.821440	3.181870	3.330200	3.206020	3.315290	3.069290	3.221730	2.986320	2.680240	2.904540	3.065300	3.070920	3.014760	3.393320	2.970340	2.766950	2.470790	2.995650	2.815750	2.681110	2.371670	2.265650	2.233360	1.899410	2.348490	1.961260	2.121990	2.424580	2.444590	2.983090	2.767380	2.770120	3.352550	3.338440	3.037840	2.807680	2.899160	3.669060	3.647360	2.746370	2.566130	2.970770	3.384300	2.795770	3.318000	3.430880	3.240820	3.195340	3.439850	3.125270	3.227060	2.730440	3.147760	3.241740	2.505320	2.629150	2.628650	2.870510	2.894940	2.632750	2.624950	2.764450	2.818540	2.844080	
97	1.602500	1.579720	1.713250	1.847600	1.919050	1.988920	2.702040	4.382670	3.380230	2.575450	2.900710	2.134390	2.320890	2.235750	1.950950	1.892970	1.912200	1.676060	1.657340	1.637250	1.723100	1.741820	1.999610	2.000030	1.889800	2.075740	1.985550	2.044020	2.305330	2.298610	2.242950	2.411360	2.328810	2.047180	2.328270	2.605180	2.452730	2.737570	3.112180	2.894230	3.169750	3.107540	2.705020	3.201290	3.029490	2.866820	3.098240	3.188930	2.947060	2.964240	2.739880	2.842420	2.551460	2.137720	2.136730	1.784110	1.740610	1.906940	2.009620	2.460170	2.372600	2.113740	2.492800	2.152090	2.340300	2.737520	2.635280	3.040400	3.226990	2.761720	2.927440	2.500970	2.853950	2.584880	2.824590	2.815870	2.800560	2.946040	2.472950	2.541910	2.271820	2.356560	2.508290	2.597440	2.407790	2.022850	1.829640	1.635280	1.517150	1.730810	1.836170	1.940660	1.915400	1.980040	1.999480	2.090140	2.057950	1.827840	1.848760	1.756260	1.605640	
98	1.602500	1.535510	1.675900	2.004770	1.957250	2.099910	2.122540	1.849960	1.958120	1.734050	1.634380	1.640830	1.649300	1.902710	2.167410	2.560790	2.412750	2.348020	2.610980	2.447630	2.031710	2.014230	1.977950	1.887460	1.608940	1.893260	2.109070	1.959870	2.243390	2.327490	3.058160	2.793300	2.682970	2.604000	2.730820	2.513610	2.372540	2.246190	2.400460	2.226200	2.663140	2.386710	2.666010	2.780580	2.841720	2.730500	3.064700	2.764240	3.263730	2.543740	2.777660	3.219430	3.167990	3.229900	2.981100	2.783790	2.860900	2.651040	3.104820	3.003590	2.656730	3.071490	2.789590	2.722510	3.034980	2.745990	2.845210	2.894940	3.265920	3.514260	3.423570	3.473470	3.714380	3.259200	3.192890	3.942040	3.677510	2.975150	2.991250	3.029000	2.784680	2.830860	2.691080	2.662940	2.879180	2.890740	2.493120	3.772170	3.430900	3.521310	3.296480	3.537810	3.279990	3.084330	3.573440	2.855720	2.858890	2.997910	2.817730	2.720380	2.683380	
99	1.602500	1.446810	1.655720	2.026960	1.908790	2.028550	2.180930	2.136510	1.920260	1.677900	1.587520	1.522290	1.782710	2.066090	2.104820	2.360300	2.184380	1.977960	1.899160	2.062180	1.928490	1.913790	2.035020	2.098630	2.304230	2.154170	2.584690	2.796800	2.699560	3.063080	3.791230	3.304550	2.904240	2.885920	2.888500	2.862290	2.596950	2.706050	2.772840	2.901640	2.798050	2.752660	2.639240	3.066810	2.913510	2.748240	2.905600	2.607440	3.027970	2.827840	2.959910	2.982260	2.607300	2.784080	2.607930	3.071630	3.167380	3.189150	2.841990	2.784600	2.760960	2.421080	3.196410	2.810830	2.664400	2.605530	2.874390	2.619080	2.876770	3.474450	3.184080	3.215140	2.779860	2.972690	2.740680	2.942390	3.274320	2.994150	2.836200	2.907030	3.406070	2.860360	2.700600	3.239700	2.867160	3.228370	3.605830	3.119740	3.142180	3.396430	3.205920	3.404550	3.329820	3.093620	2.781290	3.064760	3.630500	2.716590	3.162480	3.261260	3.471670	
100	1.602500	1.623170	2.049330	1.727080	1.855840	1.708380	1.796240	1.812760	1.801040	1.805560	1.781750	1.890510	2.162110	2.164590	2.231070	2.235190	2.211760	2.205400	1.869960	1.874940	1.750360	1.672890	1.666230	1.836450	1.858710	1.974530	1.992070	2.195250	2.319920	2.918040	2.711940	3.126000	2.935390	3.677060	4.326150	2.789330	3.264360	3.911120	4.182290	2.892630	2.607780	2.631570	2.294190	2.315020	2.154830	1.952880	1.969430	1.901050	1.892260	1.918750	1.824280	1.987070	2.124730	2.459450	2.786610	2.897260	2.940120	2.588100	4.006640	3.220260	2.810700	2.266210	2.614450	3.087990	3.416420	3.071560	3.054070	2.770080	2.220440	2.590130	2.631770	2.637400	2.639730	2.805620	2.574440	3.138600	3.015620	2.754620	2.577440	3.070740	2.964810	2.930270	2.842960	2.594800	2.428350	2.220020	2.139410	2.040670	1.798450	1.857380	1.968860	2.040880	2.146480	2.141380	2.664140	2.611040	2.781670	2.802080	2.606750	3.171910	3.527390	
101	1.602500	1.705520	1.620540	1.734300	1.694610	1.921010	1.649560	1.866460	1.782590	1.717840	1.697630	1.592780	1.675030	1.962500	2.101410	2.259890	2.451360	2.464800	2.483270	2.199750	2.145490	2.190300	2.098600	2.066050	1.851230	1.761970	1.718330	1.756360	1.668890	1.720610	1.909280	1.945740	2.063210	2.298070	2.421650	2.588700	2.972390	3.123730	2.590640	2.502970	2.431550	1.999380	2.054660	2.070860	1.744370	2.037990	2.281550	2.452710	2.571200	2.260680	1.915120	2.050610	1.805610	1.962280	2.163310	2.161000	2.464120	2.574080	2.769160	2.347170	2.421850	2.311970	2.368320	2.600130	2.216790	2.259750	2.050950	2.556030	2.617530	2.596240	2.852420	2.860100	2.752720	3.126240	2.748910	2.925810	2.860920	3.162530	2.819300	2.378410	2.657960	2.034860	2.086540	2.115230	1.853750	2.033210	2.302130	2.037370	2.161100	2.148490	2.039870	1.749660	1.800760	2.019350	1.721510	1.872530	2.233100	1.945900	2.236660	2.350740	2.319370	
102	1.602500	1.638320	1.940110	1.851040	1.663680	1.826540	1.749120	1.990080	2.023180	1.972780	1.706470	2.032910	1.950620	1.984040	2.137290	2.636050	2.196600	2.653370	2.510120	2.035840	2.220140	2.071720	2.185710	1.977850	2.130960	2.332130	2.608260	2.655390	2.989010	3.071700	3.701200	3.339650	3.206940	3.253780	2.554380	2.098420	2.217060	2.093480	2.055300	2.006950	1.971910	2.342110	2.606660	3.145020	2.809410	2.741120	2.648080	2.375860	2.467130	2.328230	2.463850	3.010360	3.049360	3.021380	2.869090	2.801600	2.596320	2.930850	2.458490	2.872580	2.590430	2.597610	2.360570	2.488840	2.506710	2.628590	2.426920	2.622660	2.664020	3.039970	3.021340	3.042330	2.794150	2.841060	2.699580	2.725600	2.905790	2.722640	3.016870	3.210780	2.976990	3.217590	2.801330	2.724200	3.030970	3.136500	2.403930	2.984230	2.918750	2.529480	2.647860	2.536800	2.353410	2.514030	2.503100	2.791750	2.937690	2.804890	2.888080	2.611120	3.211240	
103	1.602500	1.714820	1.745100	1.749410	1.621730	1.603980	1.511730	1.594330	1.872020	2.223520	2.444360	2.736390	2.822010	3.002920	2.778840	3.029370	2.891780	2.526500	2.354150	2.563040	2.071590	2.149880	2.231080	2.366190	2.284770	2.455500	2.423040	2.176560	2.141010	2.049530	2.027610	1.859180	1.837600	1.818200	1.913550	2.069540	2.068450	1.959500	2.207530	2.672820	2.352120	2.634560	2.652000	2.705830	2.546630	2.824470	3.021930	2.871270	2.871590	2.451980	2.641120	2.453370	2.509610	2.461600	2.670790	2.791630	2.962080	3.019480	3.067890	2.788060	2.521100	2.763740	2.727290	2.778120	3.333330	3.189040	3.370390	2.937540	2.860730	2.870110	2.596680	2.819030	2.972040	3.230800	3.597480	3.706050	3.248900	3.462840	2.594320	2.811550	2.796100	3.164360	3.259080	3.490870	2.984100	3.412370	3.176090	3.741850	3.187920	2.804120	2.824980	2.849430	2.762150	2.393140	2.522580	2.603090	2.758980	2.652900	2.532220	2.711680	2.585010	
104	1.602500	1.734370	1.564490	1.765250	1.877230	1.638570	1.766660	1.796240	2.009820	1.690990	1.706270	1.747460	2.028490	2.271540	2.151270	2.175400	2.099220	2.321720	2.088170	2.029610	1.688430	1.751260	1.794010	1.987520	2.343810	2.514840	2.285070	2.911260	2.188740	2.088640	2.007850	1.860960	1.688920	1.797220	2.031170	2.056560	2.193420	2.417590	2.567330	2.687050	2.603410	2.570160	2.463130	2.746290	2.270230	2.186550	2.036060	2.074700	1.968090	1.970220	2.418970	2.689990	2.877260	3.009440	3.084740	2.957520	3.110660	2.887200	2.804530	2.703410	2.776300	2.932770	2.698160	2.791030	2.956720	3.025350	2.833630	2.518740	2.343660	2.453700	2.461740	2.886520	2.579590	2.666460	2.712230	2.739740	3.131930	3.072530	3.043310	2.569920	3.160070	2.620560	2.583130	2.325310	2.482560	2.159590	2.291980	2.624360	2.648870	2.967830	2.669920	3.035840	3.033700	2.680930	2.864330	2.278250	2.294940	1.886840	1.780130	1.575090	1.778310	
105	1.602500	1.700110	2.026910	1.716420	1.856350	1.793600	1.895000	1.772430	1.962390	1.875730	1.845960	1.949340	2.065190	2.125390	2.341620	3.009710	2.702000	2.838960	2.794510	3.341720	2.799530	2.454310	2.256890	2.027780	2.225600	2.259840	2.016820	2.253210	2.337430	2.042560	2.226790	2.291470	2.433910	2.513950	2.859960	2.488900	2.732920	2.098380	2.446950	2.071780	2.009840	2.441690	2.644570	2.973100	2.775240	3.376950	3.763470	3.327940	3.176400	3.411840	3.110090	3.042250	3.138060	3.390860	2.460850	2.517680	2.340990	2.365910	2.043450	2.191110	2.360590	2.711550	2.570380	2.302920	3.016480	2.842160	2.728950	2.904300	3.068740	2.863230	2.856680	3.524540	3.026970	3.037360	3.225810	3.043140	2.978210	3.173680	3.651330	3.107410	3.107090	3.098180	3.278450	2.952290	3.123320	2.749510	2.530350	2.633810	2.785730	2.696250	2.271610	2.504140	2.751170	2.769690	2.771430	2.982730	3.021640	3.058130	3.340670	3.295820	2.848340	
106	1.602500	1.476780	1.702000	1.776550	1.915190	2.663780	2.581660	2.176510	2.260630	4.191030	3.938820	3.340160	2.950700	3.099460	2.763580	2.079740	1.711070	1.842720	1.984220	2.445690	2.274030	2.411060	2.536000	2.510420	3.321630	2.769000	2.813930	3.331520	2.931620	2.957360	2.821000	2.858290	2.598970	2.661780	2.648320	3.018710	2.587780	2.817770	2.636240	2.377200	2.810940	2.638680	2.657040	3.047970	2.562260	2.707810	2.690970	2.799780	2.882430	3.014700	3.110200	3.226460	3.055230	2.667810	2.747620	2.619350	2.455030	2.756010	2.858240	2.992360	3.380070	3.214200	3.704620	3.059090	3.118930	2.696640	3.205020	2.858850	3.085950	3.407990	2.720460	3.021210	2.734830	2.706920	3.566980	2.841710	2.847890	2.917160	3.018230	2.738790	2.898940	2.848010	2.770350	2.655780	2.587960	2.463040	2.576510	3.027700	2.744590	2.522230	2.273590	1.986920	2.433180	2.164900	2.150820	2.088300	1.790270	1.415720	1.565610	1.850550	1.993150	
107	1.602500	1.653590	1.601670	1.842840	1.735810	1.722010	1.811550	1.726910	1.768980	2.035980	2.192350	2.398670	2.265340	2.289240	2.331940	2.055590	2.356490	2.199030	2.297200	2.801500	2.845740	2.665740	2.238260	2.294750	1.949950	1.738230	1.638690	2.001700	2.281520	2.846940	2.792330	3.159620	3.059330	3.238780	2.710680	2.837660	3.323980	2.790100	2.714110	2.381080	2.565440	2.190130	2.247940	2.350530	2.464760	2.444080	2.551920	2.773300	2.891140	3.669100	3.267910	3.980870	2.912540	2.799390	3.406550	3.149370	2.662150	2.524520	3.089860	3.239400	3.040630	3.075000	2.606890	3.241180	2.503670	2.747490	2.487420	2.152060	1.853320	1.878750	1.565810	1.570760	1.627640	1.992580	2.031580	1.986770	2.148580	2.222880	2.465960	2.934030	2.640620	2.894410	3.115910	2.934960	2.626830	3.084180	2.694360	2.963410	2.506690	2.864920	2.898310	3.359460	3.712060	3.736870	3.583900	3.152940	2.816240	3.090200	2.963780	2.631050	2.628630	
108	1.602500	1.684560	1.779710	1.841790	1.769920	1.723050	1.847360	1.789140	1.819930	1.883210	2.055940	2.421550	2.108650	2.158350	2.253250	2.294440	2.205850	1.752950	1.992960	1.691390	1.636830	1.807030	1.701360	2.015700	2.095840	2.191650	2.453950	2.588900	2.375410	2.424930	2.391840	2.591570	2.401600	2.294520	2.000400	2.107700	2.204860	2.089060	2.017460	1.987710	2.144000	2.558770	2.417160	2.693830	3.252220	2.830620	2.691030	2.895800	2.530720	2.572120	2.799560	2.743960	2.576140	2.841230	2.961850	1.985110	2.594040	2.284280	2.242990	1.865070	2.187890	2.110620	2.607740	2.788280	3.042980	3.226430	3.095960	3.208470	3.085420	2.648490	2.688850	2.582640	2.540460	2.910760	2.678300	2.958560	3.035000	3.118680	3.723880	3.479000	3.204240	3.226570	2.853210	2.629860	3.039280	2.974870	2.746830	2.915050	2.936350	3.318330	3.648750	3.190980	3.287520	3.726110	3.178690	3.243890	2.748830	3.131790	3.157830	2.867470	2.809240	
109	1.602500	1.701590	1.716050	1.767700	1.878640	1.701230	1.646490	1.826310	1.849290	1.648010	1.822750	1.964630	2.014240	1.797230	1.843120	1.833320	1.834660	1.913390	1.937530	2.033220	2.005970	2.117520	2.426020	1.900960	1.827710	2.053040	1.980700	2.023050	1.737650	1.877660	1.918320	1.963480	2.045620	2.378230	2.353700	3.122690	2.541470	2.422820	2.218850	2.002360	2.043950	1.991570	2.000250	1.889760	1.917470	1.968280	1.997390	1.807800	1.695210	1.693800	1.850930	1.945800	2.031120	1.855900	1.652410	1.659930	1.770660	1.789470	1.796420	2.112180	2.415720	2.833290	2.477190	2.673070	2.472480	2.515650	2.936370	2.246430	2.962620	2.900550	3.303020	3.257520	3.468520	3.028370	2.660140	2.856090	2.791530	2.412320	2.637310	2.626630	3.400960	2.511590	2.364450	2.525560	2.565200	2.501100	2.826810	2.584770	2.529460	2.778960	2.696480	2.669450	2.674270	3.188290	3.053080	2.954490	2.919500	2.990550	2.687700	3.068040	2.836470	
110	1.602500	1.524300	1.558910	2.084200	2.183080	2.485760	2.625920	2.447730	2.168110	2.098320	2.130800	1.813580	1.496830	1.790130	2.306340	2.523760	2.011230	2.425750	2.698570	2.202820	2.011880	1.947660	2.290060	2.433220	2.021670	2.445070	2.300590	2.152200	2.465540	2.261240	1.798700	1.773350	1.730780	1.800920	1.859030	2.041540	2.249120	2.337820	2.571120	2.553400	2.722880	3.173640	2.558310	2.335820	2.385170	2.864740	2.446990	2.739210	2.642900	2.447210	2.725840	2.566670	2.650120	2.328960	2.360410	2.539080	2.430680	2.230540	3.137210	3.451330	3.289500	3.262060	2.954990	3.417730	3.311950	2.942590	2.977300	2.834580	3.226040	2.821550	2.922060	2.332820	1.843160	1.817520	1.626840	1.685220	1.825550	2.133150	2.742210	2.903280	3.301280	3.177820	2.552440	3.339760	3.716330	3.116860	2.787190	2.701480	2.406160	2.679710	2.602660	2.539380	2.039650	2.269500	1.988610	1.972310	2.014340	1.855020	2.053630	1.994110	1.821710	
111	1.602500	1.652500	1.674480	1.552820	1.642940	1.876040	1.764120	1.578770	1.715870	1.830150	1.829790	1.828560	1.884460	1.892410	1.779460	1.611560	1.756120	1.664110	1.730580	1.865230	1.996560	2.093080	1.894530	2.045130	1.907810	1.656790	1.878850	1.720970	1.863700	2.259420	1.937660	2.598660	2.215060	2.197910	2.821300	2.402990	2.413890	2.245750	2.224330	2.376730	2.097440	2.568900	3.126550	3.709410	3.534920	3.362130	3.189610	2.989240	2.760970	2.745320	2.471540	2.412890	3.011580	2.896420	2.937480	3.198130	2.716150	2.495160	2.738260	2.809220	2.575350	2.734850	2.706560	2.734050	2.815150	2.851220	3.162970	2.993430	3.469580	3.272300	3.063760	3.443440	3.137920	3.240130	3.383740	3.385470	2.967090	3.189360	2.766200	2.237020	2.266430	2.347660	2.392280	2.959610	2.439520	2.027720	2.539170	2.490800	2.879650	2.539870	2.665240	2.361680	2.835260	2.747170	3.025150	3.051530	2.930480	3.103360	3.293710	2.653080	3.118770	
112	1.602500	1.553670	1.982040	2.441860	2.153450	2.238220	2.139700	2.202550	2.617800	2.649640	2.164470	2.382000	2.120470	2.074200	1.742060	1.815950	1.767630	1.795170	1.941680	2.317200	2.268600	1.975080	2.506600	2.271870	2.317850	2.476060	2.719690	2.773260	2.969430	3.346520	2.813790	2.864070	2.924640	3.067380	3.040320	3.343340	3.523690	3.105950	2.988360	3.232480	3.511610	3.660600	3.434730	3.329820	3.618720	3.420830	3.329680	3.197590	3.341850	2.833030	2.649380	2.669170	2.537310	2.036400	2.120170	2.242550	2.073660	1.998620	1.960270	2.785670	2.498320	2.620470	2.332690	2.895220	2.999650	3.175020	2.990380	2.532860	3.331450	2.766510	3.091660	2.479180	2.735320	2.240080	2.516570	2.833380	2.375100	2.788020	2.413800	2.538930	2.708300	2.735910	3.058920	2.665620	3.001050	3.390690	2.967040	2.892720	2.459030	2.041730	2.382740	1.935400	1.907800	2.416580	2.228480	2.602380	2.495260	2.767310	2.521680	2.934660	2.614320	
113	1.602500	1.471200	1.673850	1.576690	1.717810	1.677910	1.692030	1.653750	1.808160	1.635950	1.873690	1.924030	1.876600	1.773350	1.756610	1.834250	1.615130	1.782710	1.677880	1.673470	1.857310	2.280700	2.524000	2.501880	2.112000	2.136690	2.009590	1.891740	1.844460	1.813440	1.759530	1.787510	1.938680	1.854650	2.041830	2.204750	2.272260	2.219560	2.225050	2.254270	2.309210	2.526940	2.721840	2.905240	2.696970	2.293030	2.266250	2.104110	1.836570	1.794510	1.843660	2.149650	1.924770	2.369940	2.724970	3.033350	2.728730	2.638130	2.555030	2.428860	2.687390	3.930010	3.227810	2.860650	3.243400	2.322640	2.981850	2.392750	2.359480	2.645720	2.930340	3.214340	3.310980	3.608910	3.479890	2.989740	2.564390	3.132280	3.086220	2.863400	3.047170	3.481480	2.855850	3.247470	2.799160	2.773080	2.826170	2.847200	2.940470	2.987780	3.094160	2.828490	3.366850	3.350540	2.802240	3.020690	3.487830	3.680660	3.315500	3.035530	2.672270	
114	1.602500	1.717260	1.586460	1.859990	1.620200	1.822480	1.729540	2.006230	1.871440	2.026900	1.849370	1.891770	1.470520	1.520630	1.744810	2.131010	2.124400	2.389600	2.351790	2.586610	2.573610	2.355610	2.732760	2.433470	2.762830	2.786270	2.563110	2.840200	2.649880	2.642930	3.005430	3.156840	3.946820	3.109760	3.693430	3.309020	2.790890	3.082810	3.128140	3.358210	3.334750	2.901870	3.062360	2.010850	2.410520	2.297520	2.152290	1.893330	2.159740	2.015850	2.185680	2.650630	3.029480	2.692290	3.194840	3.137510	3.892420	3.502520	3.323790	2.890220	3.302250	3.479830	2.555020	2.573100	2.321620	2.460450	2.574610	2.817390	2.504940	2.298920	2.547490	2.588530	2.621650	2.540440	2.310980	2.207060	2.331950	1.923190	2.009760	2.067520	1.659380	1.931270	2.068010	2.299020	2.424000	2.389830	2.806940	3.439840	3.232730	4.129620	3.730100	3.201180	2.973530	3.450260	3.435600	2.816360	2.981060	3.158020	2.919500	2.652530	2.821580	
115	1.602500	1.643840	1.651560	1.777570	1.988170	1.669710	1.670100	1.735580	1.844680	2.258760	2.338890	2.056580	2.307880	2.592730	2.581090	2.930070	2.736460	2.995690	2.438180	2.932080	2.558150	2.711580	2.444190	2.183220	2.356880	2.350270	2.147100	2.277860	2.535200	2.436850	2.541640	2.454100	2.387350	2.305840	2.391690	2.050540	2.245130	2.262270	2.153710	1.974300	2.319410	2.228760	2.516090	2.588190	2.728250	2.680190	2.973250	2.789270	2.605670	2.591150	2.638060	2.670440	2.764160	2.876790	3.169990	3.093550	3.184440	3.081770	3.053000	3.072950	3.110720	2.962040	2.822630	2.775990	2.920780	2.798230	3.127590	3.110290	2.990130	3.355240	3.083780	3.463020	3.203150	2.872280	3.083090	2.785810	2.953690	2.821580	2.703310	2.633190	2.913570	3.219170	3.136790	2.586880	2.700000	2.898680	3.149930	2.746140	2.965450	2.897410	2.840090	2.588870	2.468220	2.685620	2.562690	2.916940	3.289010	3.484450	3.343740	3.639570	3.121510	
116	1.602500	1.669170	1.593310	1.822310	1.963970	1.910870	1.933010	1.866550	1.696010	1.760130	1.948980	2.072610	2.517890	2.657060	2.737310	2.768800	2.884440	2.556990	2.566710	2.510110	2.529920	2.223780	2.381920	2.210650	2.168140	2.088830	1.750660	1.760410	1.826020	1.952350	1.742790	1.916310	2.067440	2.066600	2.191850	1.936240	1.918180	1.974480	1.879140	2.154910	2.189080	2.326550	2.156910	2.310340	2.110220	2.331200	2.036850	2.143690	2.087560	2.181300	1.993970	1.721750	1.847110	1.805850	1.718780	1.782660	1.678290	1.922440	1.728910	1.904680	1.750440	1.732140	2.006880	2.020660	1.896940	2.034670	2.315170	2.264770	2.496590	2.383930	2.239520	2.312800	2.120570	2.170810	2.159290	2.637770	2.550160	3.108240	3.490090	3.362260	3.002820	2.814520	2.776620	2.934030	2.847400	2.237640	2.617550	3.121210	2.788640	2.694140	3.030810	3.080410	2.545000	2.653660	2.379590	2.289720	2.613020	2.353630	2.602680	2.521500	2.652390	
