    After analysis of      3 configurations: 
 -61.500  43.680   0.000
 -61.500  44.128   0.000
 -61.500  44.576   0.000
 -58.500   0.224   0.000
 -58.500   0.672   0.000
 -58.500   1.120   0.000
 -58.500   1.568   0.000
 -58.500   2.016   0.000
 -58.500   2.464   0.000
 -58.500   2.912   0.000
 -58.500   3.360   0.000
 -58.500   3.808   0.000
 -58.500   4.256   0.000
 -58.500   4.704   0.000
 -58.500   5.152   0.000
 -58.500   5.600   0.000
 -58.500   6.048   0.000
 -58.500   6.496   0.000
 -58.500   6.944   0.000
 -58.500   7.392   0.000
 -58.500   7.840   0.000
 -58.500   8.288   0.000
 -58.500   8.736   0.000
 -58.500   9.184   0.000
 -58.500   9.632   0.000
 -58.500  10.080   0.000
 -58.500  10.528   0.000
 -58.500  10.976   0.000
 -58.500  11.424   0.000
 -58.500  11.872   0.000
 -58.500  12.320   0.000
 -58.500  12.768   0.000
 -58.500  13.216   0.000
 -58.500  13.664   0.000
 -58.500  14.112   0.000
 -58.500  14.560   0.000
 -58.500  15.008   0.000
 -58.500  15.456   0.000
 -58.500  15.904   0.000
 -58.500  16.352   0.000
 -58.500  16.800   0.000
 -58.500  17.248   0.000
 -58.500  17.696   0.000
 -58.500  18.144   0.000
 -58.500  18.592   0.000
 -58.500  19.040   0.000
 -58.500  19.488   0.000
 -58.500  19.936   0.000
 -58.500  20.384   0.000
 -58.500  20.832   0.000
 -58.500  21.280   0.000
 -58.500  21.728   0.000
 -58.500  22.176   0.000
 -58.500  22.624   0.000
 -58.500  23.072   0.000
 -58.500  23.520   0.000
 -58.500  23.968   0.000
 -58.500  24.416   0.000
 -58.500  24.864   0.000
 -58.500  25.312   0.000
 -58.500  25.760   0.000
 -58.500  26.208   0.000
 -58.500  26.656   0.000
 -58.500  27.104   0.000
 -58.500  27.552   0.000
 -58.500  28.000   0.000
 -58.500  28.448   0.000
 -58.500  28.896   0.000
 -58.500  29.344   0.000
 -58.500  29.792   0.000
 -58.500  30.240   0.000
 -58.500  30.688   0.000
 -58.500  31.136   0.000
 -58.500  31.584   0.000
 -58.500  32.032   0.000
 -58.500  32.480   0.000
 -58.500  32.928   0.000
 -58.500  33.376   0.000
 -58.500  33.824   0.000
 -58.500  34.272   0.000
 -58.500  34.720   0.000
 -58.500  35.168   0.000
 -58.500  35.616   0.000
 -58.500  36.064   0.000
 -58.500  36.512   0.000
 -58.500  36.960   0.000
 -58.500  37.408   0.000
 -58.500  37.856   0.000
 -58.500  38.304   0.000
 -58.500  38.752   0.000
 -58.500  39.200   0.000
 -58.500  39.648   0.000
 -58.500  40.096   0.000
 -58.500  40.544   0.000
 -58.500  40.992   0.000
 -58.500  41.440   0.000
 -58.500  41.888   0.000
 -58.500  42.336   0.000
 -58.500  42.784   0.000
 -58.500  43.232   0.000
 -58.500  43.680   0.000
 -58.500  44.128   0.000
 -58.500  44.576   0.000
 -55.500   0.224   0.000
 -55.500   0.672   0.000
 -55.500   1.120   0.000
 -55.500   1.568   0.000
 -55.500   2.016   0.000
 -55.500   2.464   0.000
 -55.500   2.912   0.000
 -55.500   3.360   0.000
 -55.500   3.808   0.000
 -55.500   4.256   0.000
 -55.500   4.704   0.000
 -55.500   5.152   0.000
 -55.500   5.600   0.000
 -55.500   6.048   0.000
 -55.500   6.496   0.000
 -55.500   6.944   0.000
 -55.500   7.392   0.000
 -55.500   7.840   0.000
 -55.500   8.288   0.000
 -55.500   8.736   0.000
 -55.500   9.184   0.000
 -55.500   9.632   0.000
 -55.500  10.080   0.000
 -55.500  10.528   0.000
 -55.500  10.976   0.000
 -55.500  11.424   0.000
 -55.500  11.872   0.000
 -55.500  12.320   0.000
 -55.500  12.768   0.000
 -55.500  13.216   0.000
 -55.500  13.664   0.000
 -55.500  14.112   0.000
 -55.500  14.560   0.000
 -55.500  15.008   0.000
 -55.500  15.456   0.000
 -55.500  15.904   0.000
 -55.500  16.352   0.000
 -55.500  16.800   0.000
 -55.500  17.248   0.000
 -55.500  17.696   0.000
 -55.500  18.144   0.000
 -55.500  18.592   0.000
 -55.500  19.040   0.000
 -55.500  19.488   0.000
 -55.500  19.936   0.000
 -55.500  20.384   0.000
 -55.500  20.832   0.000
 -55.500  21.280   0.000
 -55.500  21.728   0.000
 -55.500  22.176   0.000
 -55.500  22.624   0.000
 -55.500  23.072   0.000
 -55.500  23.520   0.000
 -55.500  23.968   0.000
 -55.500  24.416   0.000
 -55.500  24.864   0.000
 -55.500  25.312   0.000
 -55.500  25.760   0.000
 -55.500  26.208   0.000
 -55.500  26.656   0.000
 -55.500  27.104   0.000
 -55.500  27.552   0.000
 -55.500  28.000   0.000
 -55.500  28.448   0.000
 -55.500  28.896   0.000
 -55.500  29.344   0.000
 -55.500  29.792   0.000
 -55.500  30.240   0.000
 -55.500  30.688   0.000
 -55.500  31.136   0.000
 -55.500  31.584   0.000
 -55.500  32.032   0.000
 -55.500  32.480   0.000
 -55.500  32.928   0.000
 -55.500  33.376   0.000
 -55.500  33.824   0.000
 -55.500  34.272   0.000
 -55.500  34.720   0.000
 -55.500  35.168   0.000
 -55.500  35.616   0.000
 -55.500  36.064   0.000
 -55.500  36.512   0.000
 -55.500  36.960   0.000
 -55.500  37.408   0.000
 -55.500  37.856   0.000
 -55.500  38.304   0.000
 -55.500  38.752   0.000
 -55.500  39.200   0.000
 -55.500  39.648   0.000
 -55.500  40.096   0.000
 -55.500  40.544   0.000
 -55.500  40.992   0.000
 -55.500  41.440   0.000
 -55.500  41.888   0.000
 -55.500  42.336   0.000
 -55.500  42.784   0.000
 -55.500  43.232   0.000
 -55.500  43.680   0.000
 -55.500  44.128   0.000
 -55.500  44.576   0.000
 -52.500   0.224   0.000
 -52.500   0.672   0.000
 -52.500   1.120   0.000
 -52.500   1.568   0.000
 -52.500   2.016   0.000
 -52.500   2.464   0.000
 -52.500   2.912   0.000
 -52.500   3.360   0.000
 -52.500   3.808   0.000
 -52.500   4.256   0.000
 -52.500   4.704   0.000
 -52.500   5.152   0.000
 -52.500   5.600   0.000
 -52.500   6.048   0.000
 -52.500   6.496   0.000
 -52.500   6.944   0.000
 -52.500   7.392   0.000
 -52.500   7.840   0.000
 -52.500   8.288   0.000
 -52.500   8.736   0.000
 -52.500   9.184   0.000
 -52.500   9.632   0.000
 -52.500  10.080   0.000
 -52.500  10.528   0.000
 -52.500  10.976   0.000
 -52.500  11.424   0.000
 -52.500  11.872   0.000
 -52.500  12.320   0.000
 -52.500  12.768   0.000
 -52.500  13.216   0.000
 -52.500  13.664   0.000
 -52.500  14.112   0.000
 -52.500  14.560   0.000
 -52.500  15.008   0.000
 -52.500  15.456   0.000
 -52.500  15.904   0.000
 -52.500  16.352   0.000
 -52.500  16.800   0.000
 -52.500  17.248   0.000
 -52.500  17.696   0.000
 -52.500  18.144   0.000
 -52.500  18.592   0.000
 -52.500  19.040   0.000
 -52.500  19.488   0.000
 -52.500  19.936   0.000
 -52.500  20.384   0.000
 -52.500  20.832   0.000
 -52.500  21.280   0.000
 -52.500  21.728   0.000
 -52.500  22.176   0.000
 -52.500  22.624   0.000
 -52.500  23.072   0.000
 -52.500  23.520   0.000
 -52.500  23.968   0.000
 -52.500  24.416   0.000
 -52.500  24.864   0.000
 -52.500  25.312   0.000
 -52.500  25.760   0.000
 -52.500  26.208   0.000
 -52.500  26.656   0.000
 -52.500  27.104   0.000
 -52.500  27.552   0.000
 -52.500  28.000   0.000
 -52.500  28.448   0.000
 -52.500  28.896   0.000
 -52.500  29.344   0.000
 -52.500  29.792   0.000
 -52.500  30.240   0.000
 -52.500  30.688   0.000
 -52.500  31.136   0.000
 -52.500  31.584   0.000
 -52.500  32.032   0.000
 -52.500  32.480   0.000
 -52.500  32.928   0.000
 -52.500  33.376   0.000
 -52.500  33.824   0.000
 -52.500  34.272   0.000
 -52.500  34.720   0.000
 -52.500  35.168   0.000
 -52.500  35.616   0.000
 -52.500  36.064   0.000
 -52.500  36.512   0.000
 -52.500  36.960   0.000
 -52.500  37.408   0.000
 -52.500  37.856   0.000
 -52.500  38.304   0.000
 -52.500  38.752   0.000
 -52.500  39.200   0.000
 -52.500  39.648   0.000
 -52.500  40.096   0.000
 -52.500  40.544   0.000
 -52.500  40.992   0.000
 -52.500  41.440   0.000
 -52.500  41.888   0.000
 -52.500  42.336   0.000
 -52.500  42.784   0.000
 -52.500  43.232   0.000
 -52.500  43.680   0.000
 -52.500  44.128   0.000
 -52.500  44.576   0.000
 -49.500   0.224   0.000
 -49.500   0.672   0.000
 -49.500   1.120   0.000
 -49.500   1.568   0.000
 -49.500   2.016   0.000
 -49.500   2.464   0.000
 -49.500   2.912   0.000
 -49.500   3.360   0.000
 -49.500   3.808   0.000
 -49.500   4.256   0.000
 -49.500   4.704   0.000
 -49.500   5.152   0.000
 -49.500   5.600   0.000
 -49.500   6.048   0.000
 -49.500   6.496   0.000
 -49.500   6.944   0.000
 -49.500   7.392   0.000
 -49.500   7.840   0.000
 -49.500   8.288   0.000
 -49.500   8.736   0.000
 -49.500   9.184   0.000
 -49.500   9.632   0.000
 -49.500  10.080   0.000
 -49.500  10.528   0.000
 -49.500  10.976   0.000
 -49.500  11.424   0.000
 -49.500  11.872   0.000
 -49.500  12.320   0.000
 -49.500  12.768   0.000
 -49.500  13.216   0.000
 -49.500  13.664   0.000
 -49.500  14.112   0.000
 -49.500  14.560   0.000
 -49.500  15.008   0.000
 -49.500  15.456   0.000
 -49.500  15.904   0.000
 -49.500  16.352   0.000
 -49.500  16.800   0.000
 -49.500  17.248   0.000
 -49.500  17.696   0.000
 -49.500  18.144   0.000
 -49.500  18.592   0.000
 -49.500  19.040   0.000
 -49.500  19.488   0.000
 -49.500  19.936   0.000
 -49.500  20.384   0.000
 -49.500  20.832   0.000
 -49.500  21.280   0.000
 -49.500  21.728   0.000
 -49.500  22.176   0.000
 -49.500  22.624   0.000
 -49.500  23.072   0.000
 -49.500  23.520   0.000
 -49.500  23.968   0.000
 -49.500  24.416   0.000
 -49.500  24.864   0.000
 -49.500  25.312   0.000
 -49.500  25.760   0.000
 -49.500  26.208   0.000
 -49.500  26.656   0.000
 -49.500  27.104   0.000
 -49.500  27.552   0.000
 -49.500  28.000   0.000
 -49.500  28.448   0.000
 -49.500  28.896   0.000
 -49.500  29.344   0.000
 -49.500  29.792   0.000
 -49.500  30.240   0.000
 -49.500  30.688   0.000
 -49.500  31.136   0.000
 -49.500  31.584   0.000
 -49.500  32.032   0.000
 -49.500  32.480   0.000
 -49.500  32.928   0.000
 -49.500  33.376   0.000
 -49.500  33.824   0.000
 -49.500  34.272   0.000
 -49.500  34.720   0.000
 -49.500  35.168   0.000
 -49.500  35.616   0.000
 -49.500  36.064   0.000
 -49.500  36.512   0.000
 -49.500  36.960   0.000
 -49.500  37.408   0.000
 -49.500  37.856   0.000
 -49.500  38.304   0.000
 -49.500  38.752   0.000
 -49.500  39.200   0.000
 -49.500  39.648   0.000
 -49.500  40.096   0.000
 -49.500  40.544   0.000
 -49.500  40.992   0.000
 -49.500  41.440   0.000
 -49.500  41.888   0.000
 -49.500  42.336   0.000
 -49.500  42.784   0.000
 -49.500  43.232   0.000
 -49.500  43.680   0.000
 -49.500  44.128   0.000
 -49.500  44.576   0.000
 -46.500   0.224   0.000
 -46.500   0.672   0.000
 -46.500   1.120   0.000
 -46.500   1.568   0.000
 -46.500   2.016   0.000
 -46.500   2.464   0.000
 -46.500   2.912   0.000
 -46.500   3.360   0.000
 -46.500   3.808   0.000
 -46.500   4.256   0.000
 -46.500   4.704   0.000
 -46.500   5.152   0.000
 -46.500   5.600   0.000
 -46.500   6.048   0.000
 -46.500   6.496   0.000
 -46.500   6.944   0.000
 -46.500   7.392   0.000
 -46.500   7.840   0.000
 -46.500   8.288   0.000
 -46.500   8.736   0.000
 -46.500   9.184   0.000
 -46.500   9.632   0.000
 -46.500  10.080   0.000
 -46.500  10.528   0.000
 -46.500  10.976   0.000
 -46.500  11.424   0.000
 -46.500  11.872   0.000
 -46.500  12.320   0.000
 -46.500  12.768   0.000
 -46.500  13.216   0.000
 -46.500  13.664   0.000
 -46.500  14.112   0.000
 -46.500  14.560   0.000
 -46.500  15.008   0.000
 -46.500  15.456   0.000
 -46.500  15.904   0.000
 -46.500  16.352   0.000
 -46.500  16.800   0.000
 -46.500  17.248   0.000
 -46.500  17.696   0.000
 -46.500  18.144   0.000
 -46.500  18.592   0.000
 -46.500  19.040   0.000
 -46.500  19.488   0.000
 -46.500  19.936   0.000
 -46.500  20.384   0.000
 -46.500  20.832   0.000
 -46.500  21.280   0.000
 -46.500  21.728   0.000
 -46.500  22.176   0.000
 -46.500  22.624   0.000
 -46.500  23.072   0.000
 -46.500  23.520   0.000
 -46.500  23.968   0.000
 -46.500  24.416   0.000
 -46.500  24.864   0.000
 -46.500  25.312   0.000
 -46.500  25.760   0.000
 -46.500  26.208   0.000
 -46.500  26.656   0.000
 -46.500  27.104   0.000
 -46.500  27.552   0.000
 -46.500  28.000   0.000
 -46.500  28.448   0.000
 -46.500  28.896   0.000
 -46.500  29.344   0.000
 -46.500  29.792   0.000
 -46.500  30.240   0.000
 -46.500  30.688   0.000
 -46.500  31.136   0.000
 -46.500  31.584   0.000
 -46.500  32.032   0.000
 -46.500  32.480   0.000
 -46.500  32.928   0.000
 -46.500  33.376   0.000
 -46.500  33.824   0.000
 -46.500  34.272   0.000
 -46.500  34.720   0.000
 -46.500  35.168   0.000
 -46.500  35.616   0.000
 -46.500  36.064   0.000
 -46.500  36.512   0.000
 -46.500  36.960   0.000
 -46.500  37.408   0.000
 -46.500  37.856   0.000
 -46.500  38.304   0.000
 -46.500  38.752   0.000
 -46.500  39.200   0.000
 -46.500  39.648   0.000
 -46.500  40.096   0.000
 -46.500  40.544   0.000
 -46.500  40.992   0.000
 -46.500  41.440   0.000
 -46.500  41.888   0.000
 -46.500  42.336   0.000
 -46.500  42.784   0.000
 -46.500  43.232   0.000
 -46.500  43.680   0.000
 -46.500  44.128   0.000
 -46.500  44.576   0.000
 -43.500   0.224   0.000
 -43.500   0.672   0.000
 -43.500   1.120   0.000
 -43.500   1.568   0.000
 -43.500   2.016   0.000
 -43.500   2.464   0.000
 -43.500   2.912   0.000
 -43.500   3.360   0.000
 -43.500   3.808   0.000
 -43.500   4.256   0.000
 -43.500   4.704   0.000
 -43.500   5.152   0.000
 -43.500   5.600   0.000
 -43.500   6.048   0.000
 -43.500   6.496   0.000
 -43.500   6.944   0.000
 -43.500   7.392   0.000
 -43.500   7.840   0.000
 -43.500   8.288   0.000
 -43.500   8.736   0.000
 -43.500   9.184   0.000
 -43.500   9.632   0.000
 -43.500  10.080   0.000
 -43.500  10.528   0.000
 -43.500  10.976   0.000
 -43.500  11.424   0.000
 -43.500  11.872   0.000
 -43.500  12.320   0.000
 -43.500  12.768   0.000
 -43.500  13.216   0.000
 -43.500  13.664   0.000
 -43.500  14.112   0.000
 -43.500  14.560   0.000
 -43.500  15.008   0.000
 -43.500  15.456   0.000
 -43.500  15.904   0.000
 -43.500  16.352   0.000
 -43.500  16.800   0.000
 -43.500  17.248   0.000
 -43.500  17.696   0.000
 -43.500  18.144   0.000
 -43.500  18.592   0.000
 -43.500  19.040   0.000
 -43.500  19.488   0.000
 -43.500  19.936   0.000
 -43.500  20.384   0.000
 -43.500  20.832   0.000
 -43.500  21.280   0.000
 -43.500  21.728   0.000
 -43.500  22.176   0.000
 -43.500  22.624   0.000
 -43.500  23.072   0.000
 -43.500  23.520   0.000
 -43.500  23.968   0.000
 -43.500  24.416   0.000
 -43.500  24.864   0.000
 -43.500  25.312   0.000
 -43.500  25.760   0.000
 -43.500  26.208   0.000
 -43.500  26.656   0.000
 -43.500  27.104   0.000
 -43.500  27.552   0.000
 -43.500  28.000   0.000
 -43.500  28.448   0.000
 -43.500  28.896   0.000
 -43.500  29.344   0.000
 -43.500  29.792   0.000
 -43.500  30.240   0.000
 -43.500  30.688   0.000
 -43.500  31.136   0.000
 -43.500  31.584   0.000
 -43.500  32.032   0.000
 -43.500  32.480   0.000
 -43.500  32.928   0.000
 -43.500  33.376   0.000
 -43.500  33.824   0.000
 -43.500  34.272   0.000
 -43.500  34.720   0.000
 -43.500  35.168   0.000
 -43.500  35.616   0.000
 -43.500  36.064   0.000
 -43.500  36.512   0.000
 -43.500  36.960   0.000
 -43.500  37.408   0.000
 -43.500  37.856   0.000
 -43.500  38.304   0.000
 -43.500  38.752   0.000
 -43.500  39.200   0.000
 -43.500  39.648   0.000
 -43.500  40.096   0.000
 -43.500  40.544   0.000
 -43.500  40.992   0.000
 -43.500  41.440   0.000
 -43.500  41.888   0.000
 -43.500  42.336   0.000
 -43.500  42.784   0.000
 -43.500  43.232   0.000
 -43.500  43.680   0.000
 -43.500  44.128   0.000
 -43.500  44.576   0.000
 -40.500   0.224   0.000
 -40.500   0.672   0.000
 -40.500   1.120   0.000
 -40.500   1.568   0.000
 -40.500   2.016   0.000
 -40.500   2.464   0.000
 -40.500   2.912   0.000
 -40.500   3.360   0.000
 -40.500   3.808   0.000
 -40.500   4.256   0.000
 -40.500   4.704   0.000
 -40.500   5.152   0.000
 -40.500   5.600   0.000
 -40.500   6.048   0.000
 -40.500   6.496   0.000
 -40.500   6.944   0.000
 -40.500   7.392   0.000
 -40.500   7.840   0.000
 -40.500   8.288   0.000
 -40.500   8.736   0.000
 -40.500   9.184   0.000
 -40.500   9.632   0.000
 -40.500  10.080   0.000
 -40.500  10.528   0.000
 -40.500  10.976   0.000
 -40.500  11.424   0.000
 -40.500  11.872   0.000
 -40.500  12.320   0.000
 -40.500  12.768   0.000
 -40.500  13.216   0.000
 -40.500  13.664   0.000
 -40.500  14.112   0.000
 -40.500  14.560   0.000
 -40.500  15.008   0.000
 -40.500  15.456   0.000
 -40.500  15.904   0.000
 -40.500  16.352   0.000
 -40.500  16.800   0.000
 -40.500  17.248   0.000
 -40.500  17.696   0.000
 -40.500  18.144   0.000
 -40.500  18.592   0.000
 -40.500  19.040   0.000
 -40.500  19.488   0.000
 -40.500  19.936   0.000
 -40.500  20.384   0.000
 -40.500  20.832   0.000
 -40.500  21.280   0.000
 -40.500  21.728   0.000
 -40.500  22.176   0.000
 -40.500  22.624   0.000
 -40.500  23.072   0.000
 -40.500  23.520   0.000
 -40.500  23.968   0.000
 -40.500  24.416   0.000
 -40.500  24.864   0.000
 -40.500  25.312   0.000
 -40.500  25.760   0.000
 -40.500  26.208   0.000
 -40.500  26.656   0.000
 -40.500  27.104   0.000
 -40.500  27.552   0.000
 -40.500  28.000   0.000
 -40.500  28.448   0.000
 -40.500  28.896   0.000
 -40.500  29.344   0.000
 -40.500  29.792   0.000
 -40.500  30.240   0.000
 -40.500  30.688   0.000
 -40.500  31.136   0.000
 -40.500  31.584   0.000
 -40.500  32.032   0.000
 -40.500  32.480   0.000
 -40.500  32.928   0.000
 -40.500  33.376   0.000
 -40.500  33.824   0.000
 -40.500  34.272   0.000
 -40.500  34.720   0.000
 -40.500  35.168   0.000
 -40.500  35.616   0.000
 -40.500  36.064   0.000
 -40.500  36.512   0.000
 -40.500  36.960   0.000
 -40.500  37.408   0.000
 -40.500  37.856   0.000
 -40.500  38.304   0.000
 -40.500  38.752   0.000
 -40.500  39.200   0.000
 -40.500  39.648   0.000
 -40.500  40.096   0.000
 -40.500  40.544   0.000
 -40.500  40.992   0.000
 -40.500  41.440   0.000
 -40.500  41.888   0.000
 -40.500  42.336   0.000
 -40.500  42.784   0.000
 -40.500  43.232   0.000
 -40.500  43.680   0.000
 -40.500  44.128   0.000
 -40.500  44.576   0.000
 -37.500   0.224   0.000
 -37.500   0.672   0.000
 -37.500   1.120   0.000
 -37.500   1.568   0.000
 -37.500   2.016   0.000
 -37.500   2.464   0.000
 -37.500   2.912   0.000
 -37.500   3.360   0.000
 -37.500   3.808   0.000
 -37.500   4.256   0.000
 -37.500   4.704   0.000
 -37.500   5.152   0.000
 -37.500   5.600   0.000
 -37.500   6.048   0.000
 -37.500   6.496   0.000
 -37.500   6.944   0.000
 -37.500   7.392   0.000
 -37.500   7.840   0.000
 -37.500   8.288   0.000
 -37.500   8.736   0.000
 -37.500   9.184   0.000
 -37.500   9.632   0.000
 -37.500  10.080   0.000
 -37.500  10.528   0.000
 -37.500  10.976   0.000
 -37.500  11.424   0.000
 -37.500  11.872   0.000
 -37.500  12.320   0.000
 -37.500  12.768   0.000
 -37.500  13.216   0.000
 -37.500  13.664   0.000
 -37.500  14.112   0.000
 -37.500  14.560   0.000
 -37.500  15.008   0.000
 -37.500  15.456   0.000
 -37.500  15.904   0.000
 -37.500  16.352   0.000
 -37.500  16.800   0.000
 -37.500  17.248   0.000
 -37.500  17.696   0.000
 -37.500  18.144   0.000
 -37.500  18.592   0.000
 -37.500  19.040   0.000
 -37.500  19.488   0.000
 -37.500  19.936   0.000
 -37.500  20.384   0.000
 -37.500  20.832   0.000
 -37.500  21.280   0.000
 -37.500  21.728   0.000
 -37.500  22.176   0.000
 -37.500  22.624   0.000
 -37.500  23.072   0.000
 -37.500  23.520   0.000
 -37.500  23.968   0.000
 -37.500  24.416   0.000
 -37.500  24.864   0.000
 -37.500  25.312   0.000
 -37.500  25.760   0.000
 -37.500  26.208   0.000
 -37.500  26.656   0.000
 -37.500  27.104   0.000
 -37.500  27.552   0.000
 -37.500  28.000   0.000
 -37.500  28.448   0.000
 -37.500  28.896   0.000
 -37.500  29.344   0.000
 -37.500  29.792   0.000
 -37.500  30.240   0.000
 -37.500  30.688   0.000
 -37.500  31.136   0.000
 -37.500  31.584   0.000
 -37.500  32.032   0.000
 -37.500  32.480   0.000
 -37.500  32.928   0.000
 -37.500  33.376   0.000
 -37.500  33.824   0.000
 -37.500  34.272   0.000
 -37.500  34.720   0.000
 -37.500  35.168   0.000
 -37.500  35.616   0.000
 -37.500  36.064   0.000
 -37.500  36.512   0.000
 -37.500  36.960   0.000
 -37.500  37.408   0.000
 -37.500  37.856   0.000
 -37.500  38.304   0.000
 -37.500  38.752   0.000
 -37.500  39.200   0.000
 -37.500  39.648   0.000
 -37.500  40.096   0.000
 -37.500  40.544   0.000
 -37.500  40.992   0.000
 -37.500  41.440   0.000
 -37.500  41.888   0.000
 -37.500  42.336   0.000
 -37.500  42.784   0.000
 -37.500  43.232   0.000
 -37.500  43.680   0.000
 -37.500  44.128   0.000
 -37.500  44.576   0.000
 -34.500   0.224   0.000
 -34.500   0.672   0.000
 -34.500   1.120   0.000
 -34.500   1.568   0.000
 -34.500   2.016   0.000
 -34.500   2.464   0.000
 -34.500   2.912   0.000
 -34.500   3.360   0.000
 -34.500   3.808   0.000
 -34.500   4.256   0.000
 -34.500   4.704   0.000
 -34.500   5.152   0.000
 -34.500   5.600   0.000
 -34.500   6.048   0.000
 -34.500   6.496   0.000
 -34.500   6.944   0.000
 -34.500   7.392   0.000
 -34.500   7.840   0.000
 -34.500   8.288   0.000
 -34.500   8.736   0.000
 -34.500   9.184   0.000
 -34.500   9.632   0.000
 -34.500  10.080   0.000
 -34.500  10.528   0.000
 -34.500  10.976   0.000
 -34.500  11.424   0.000
 -34.500  11.872   0.000
 -34.500  12.320   0.000
 -34.500  12.768   0.000
 -34.500  13.216   0.000
 -34.500  13.664   0.000
 -34.500  14.112   0.000
 -34.500  14.560   0.000
 -34.500  15.008   0.000
 -34.500  15.456   0.000
 -34.500  15.904   0.000
 -34.500  16.352   0.000
 -34.500  16.800   0.000
 -34.500  17.248   0.000
 -34.500  17.696   0.000
 -34.500  18.144   0.000
 -34.500  18.592   0.000
 -34.500  19.040   0.000
 -34.500  19.488   0.000
 -34.500  19.936   0.000
 -34.500  20.384   0.000
 -34.500  20.832   0.000
 -34.500  21.280   0.000
 -34.500  21.728   0.000
 -34.500  22.176   0.000
 -34.500  22.624   0.000
 -34.500  23.072   0.000
 -34.500  23.520   0.000
 -34.500  23.968   0.000
 -34.500  24.416   0.000
 -34.500  24.864   0.000
 -34.500  25.312   0.000
 -34.500  25.760   0.000
 -34.500  26.208   0.000
 -34.500  26.656   0.000
 -34.500  27.104   0.000
 -34.500  27.552   0.000
 -34.500  28.000   0.000
 -34.500  28.448   0.000
 -34.500  28.896   0.000
 -34.500  29.344   0.000
 -34.500  29.792   0.000
 -34.500  30.240   0.000
 -34.500  30.688   0.000
 -34.500  31.136   0.000
 -34.500  31.584   0.000
 -34.500  32.032   0.000
 -34.500  32.480   0.000
 -34.500  32.928   0.000
 -34.500  33.376   0.000
 -34.500  33.824   0.000
 -34.500  34.272   0.000
 -34.500  34.720   0.000
 -34.500  35.168   0.000
 -34.500  35.616   0.000
 -34.500  36.064   0.000
 -34.500  36.512   0.000
 -34.500  36.960   0.000
 -34.500  37.408   0.000
 -34.500  37.856   0.000
 -34.500  38.304   0.000
 -34.500  38.752   0.000
 -34.500  39.200   0.000
 -34.500  39.648   0.000
 -34.500  40.096   0.000
 -34.500  40.544   0.000
 -34.500  40.992   0.000
 -34.500  41.440   0.000
 -34.500  41.888   0.000
 -34.500  42.336   0.000
 -34.500  42.784   0.000
 -34.500  43.232   0.000
 -34.500  43.680   0.000
 -34.500  44.128   0.000
 -34.500  44.576   0.000
 -31.500   0.224   0.000
 -31.500   0.672   0.000
 -31.500   1.120   0.000
 -31.500   1.568   0.000
 -31.500   2.016   0.000
 -31.500   2.464   0.000
 -31.500   2.912   0.000
 -31.500   3.360   0.000
 -31.500   3.808   0.000
 -31.500   4.256   0.000
 -31.500   4.704   0.000
 -31.500   5.152   0.000
 -31.500   5.600   0.000
 -31.500   6.048   0.000
 -31.500   6.496   0.000
 -31.500   6.944   0.000
 -31.500   7.392   0.000
 -31.500   7.840   0.000
 -31.500   8.288   0.000
 -31.500   8.736   0.000
 -31.500   9.184   0.000
 -31.500   9.632   0.000
 -31.500  10.080   0.000
 -31.500  10.528   0.000
 -31.500  10.976   0.000
 -31.500  11.424   0.000
 -31.500  11.872   0.000
 -31.500  12.320   0.000
 -31.500  12.768   0.000
 -31.500  13.216   0.000
 -31.500  13.664   0.000
 -31.500  14.112   0.000
 -31.500  14.560   0.000
 -31.500  15.008   0.000
 -31.500  15.456   0.000
 -31.500  15.904   0.000
 -31.500  16.352   0.000
 -31.500  16.800   0.000
 -31.500  17.248   0.000
 -31.500  17.696   0.000
 -31.500  18.144   0.000
 -31.500  18.592   0.000
 -31.500  19.040   0.000
 -31.500  19.488   0.000
 -31.500  19.936   0.000
 -31.500  20.384   0.000
 -31.500  20.832   0.000
 -31.500  21.280   0.000
 -31.500  21.728   0.000
 -31.500  22.176   0.000
 -31.500  22.624   0.000
 -31.500  23.072   0.000
 -31.500  23.520   0.000
 -31.500  23.968   0.000
 -31.500  24.416   0.000
 -31.500  24.864   0.000
 -31.500  25.312   0.000
 -31.500  25.760   0.000
 -31.500  26.208   0.000
 -31.500  26.656   0.000
 -31.500  27.104   0.000
 -31.500  27.552   0.000
 -31.500  28.000   0.000
 -31.500  28.448   0.000
 -31.500  28.896   0.000
 -31.500  29.344   0.000
 -31.500  29.792   0.000
 -31.500  30.240   0.000
 -31.500  30.688   0.000
 -31.500  31.136   0.000
 -31.500  31.584   0.000
 -31.500  32.032   0.000
 -31.500  32.480   0.000
 -31.500  32.928   0.000
 -31.500  33.376   0.000
 -31.500  33.824   0.000
 -31.500  34.272   0.000
 -31.500  34.720   0.000
 -31.500  35.168   0.000
 -31.500  35.616   0.000
 -31.500  36.064   0.000
 -31.500  36.512   0.000
 -31.500  36.960   0.000
 -31.500  37.408   0.000
 -31.500  37.856   0.000
 -31.500  38.304   0.000
 -31.500  38.752   0.000
 -31.500  39.200   0.000
 -31.500  39.648   0.000
 -31.500  40.096   0.000
 -31.500  40.544   0.000
 -31.500  40.992   0.000
 -31.500  41.440   0.000
 -31.500  41.888   0.000
 -31.500  42.336   0.000
