    After analysis of      3 configurations: 
 Bulk (1) O-water                        :   at.type -     1;   col.title - o*      
 Bulk (1) H-water                        :   at.type -     2;   col.title - h*      


   ra      rb      o*      h*      
   9.570   9.565   0.000   0.000
   9.570  10.331   0.000   0.500
   9.570  11.096   0.000   0.000
   9.570  11.861   0.000   0.000
   9.570  12.626   0.000   0.000
   9.570  13.391   0.000   0.000
   9.570  14.157   0.000   0.000
   9.570  14.922   0.000   0.000
   9.570  15.687   0.000   0.000
   9.570  16.452   0.000   0.000
   9.570  17.218   0.000   0.000
   9.570  17.983   0.000   0.000
   9.570  18.748   0.000   0.000
   9.570  19.513   0.000   0.000
   9.570  20.278   0.000   0.000
   9.570  21.044   0.000   0.000
   9.570  21.809   0.000   0.000
   9.570  22.574   0.000   0.000
   9.570  23.339   0.000   0.000
   9.570  24.105   0.000   0.000
   9.570  24.870   0.000   0.000
   9.570  25.635   0.000   0.000
   9.570  26.400   0.000   0.167
   9.570  27.165   0.000   0.167
   9.570  27.931   0.000   0.167
   9.570  28.696   0.000   0.167
   9.570  29.461   0.000   0.000
   9.570  30.226   0.000   0.000
   9.570  30.992   0.000   0.000
   9.570  31.757   0.000   0.000
   9.570  32.522   0.000   0.000
   9.570  33.287   0.000   0.000
   9.570  34.052   0.000   0.000
   9.570  34.818   0.000   0.333
   9.570  35.583   0.000   0.000
   9.570  36.348   0.000   0.000
   9.570  37.113   0.000   0.000
   9.570  37.879   0.000   0.000
  10.150   0.383   0.000   0.000
  10.150   1.148   0.000   0.000
  10.150   1.913   0.000   0.000
  10.150   2.678   0.000   0.500
  10.150   3.444   0.000   0.000
  10.150   4.209   0.667   0.333
  10.150   4.974   0.000   0.167
  10.150   5.739   0.000   0.333
  10.150   6.504   0.000   0.000
  10.150   7.270   0.000   0.000
  10.150   8.035   0.000   0.000
  10.150   8.800   0.000   0.000
  10.150   9.565   0.000   0.000
  10.150  10.331   0.000   0.000
  10.150  11.096   0.000   0.000
  10.150  11.861   0.000   0.000
  10.150  12.626   0.000   0.000
  10.150  13.391   0.000   0.500
  10.150  14.157   0.000   0.000
  10.150  14.922   0.000   0.167
  10.150  15.687   0.000   0.333
  10.150  16.452   0.000   0.000
  10.150  17.218   0.000   0.000
  10.150  17.983   0.000   0.000
  10.150  18.748   0.333   0.000
  10.150  19.513   0.667   0.000
  10.150  20.278   0.000   0.000
  10.150  21.044   0.000   0.000
  10.150  21.809   0.000   0.000
  10.150  22.574   0.000   0.000
  10.150  23.339   0.000   0.167
  10.150  24.105   0.000   0.000
  10.150  24.870   0.000   0.000
  10.150  25.635   0.000   0.000
  10.150  26.400   0.000   0.167
  10.150  27.165   0.667   0.000
  10.150  27.931   0.000   0.000
  10.150  28.696   0.000   0.000
  10.150  29.461   0.000   0.000
  10.150  30.226   0.000   0.000
  10.150  30.992   0.000   0.000
  10.150  31.757   0.000   0.167
  10.150  32.522   0.000   0.000
  10.150  33.287   0.000   0.000
  10.150  34.052   0.000   0.000
  10.150  34.818   0.000   0.000
  10.150  35.583   0.000   0.000
  10.150  36.348   0.000   0.000
  10.150  37.113   0.000   0.000
  10.150  37.879   0.000   0.000
  10.730   0.383   0.000   0.000
  10.730   1.148   0.000   0.000
  10.730   1.913   0.000   0.000
  10.730   2.678   0.000   0.000
  10.730   3.444   0.000   0.000
  10.730   4.209   0.333   0.167
  10.730   4.974   0.000   0.000
  10.730   5.739   0.000   0.000
  10.730   6.504   0.000   0.000
  10.730   7.270   0.000   0.000
  10.730   8.035   0.000   0.000
  10.730   8.800   0.000   0.000
  10.730   9.565   0.000   0.000
  10.730  10.331   0.000   0.000
  10.730  11.096   0.000   0.000
  10.730  11.861   0.000   0.167
  10.730  12.626   0.000   0.167
  10.730  13.391   0.000   0.000
  10.730  14.157   0.000   0.000
  10.730  14.922   0.000   0.000
  10.730  15.687   1.000   0.000
  10.730  16.452   0.000   0.000
  10.730  17.218   0.000   0.000
  10.730  17.983   0.000   0.000
  10.730  18.748   0.000   0.333
  10.730  19.513   0.000   0.167
  10.730  20.278   0.000   0.333
  10.730  21.044   0.000   0.000
  10.730  21.809   0.000   0.333
  10.730  22.574   0.000   0.167
  10.730  23.339   0.000   0.333
  10.730  24.105   0.000   0.000
  10.730  24.870   0.000   0.000
  10.730  25.635   0.000   0.000
  10.730  26.400   0.000   0.000
  10.730  27.165   0.000   0.000
  10.730  27.931   0.000   0.000
  10.730  28.696   0.000   0.000
  10.730  29.461   0.000   0.000
  10.730  30.226   0.000   0.000
  10.730  30.992   0.000   0.000
  10.730  31.757   0.000   0.333
  10.730  32.522   0.000   0.000
  10.730  33.287   0.000   0.000
  10.730  34.052   0.000   0.000
  10.730  34.818   0.333   0.000
  10.730  35.583   0.000   0.000
  10.730  36.348   0.000   0.000
  10.730  37.113   0.000   0.000
  10.730  37.879   0.000   0.000
  11.310   0.383   0.000   0.000
  11.310   1.148   0.000   0.000
  11.310   1.913   0.000   0.000
  11.310   2.678   0.000   0.000
  11.310   3.444   0.000   0.000
  11.310   4.209   0.000   0.000
  11.310   4.974   0.000   0.000
  11.310   5.739   0.000   0.000
  11.310   6.504   0.000   0.000
  11.310   7.270   0.000   0.500
  11.310   8.035   0.000   0.000
  11.310   8.800   0.000   0.000
  11.310   9.565   0.000   0.000
  11.310  10.331   0.000   0.000
  11.310  11.096   0.000   0.000
  11.310  11.861   0.000   0.000
  11.310  12.626   0.000   0.167
  11.310  13.391   0.000   0.000
  11.310  14.157   0.000   0.333
  11.310  14.922   0.000   0.167
  11.310  15.687   0.000   0.000
  11.310  16.452   0.000   0.000
  11.310  17.218   0.000   0.000
  11.310  17.983   0.000   0.000
  11.310  18.748   0.000   0.000
  11.310  19.513   0.000   0.167
  11.310  20.278   0.000   0.000
  11.310  21.044   0.667   0.000
  11.310  21.809   0.333   0.000
  11.310  22.574   0.000   0.000
  11.310  23.339   0.000   0.000
  11.310  24.105   0.000   0.000
  11.310  24.870   0.000   0.000
  11.310  25.635   0.000   0.000
  11.310  26.400   0.000   0.000
  11.310  27.165   0.000   0.167
  11.310  27.931   0.000   0.167
  11.310  28.696   0.000   0.000
  11.310  29.461   0.000   0.000
  11.310  30.226   0.000   0.000
  11.310  30.992   0.000   0.000
  11.310  31.757   0.000   0.000
  11.310  32.522   0.000   0.000
  11.310  33.287   0.000   0.500
  11.310  34.052   0.000   0.000
  11.310  34.818   0.000   0.000
  11.310  35.583   0.000   0.667
  11.310  36.348   0.000   0.000
  11.310  37.113   0.000   0.000
  11.310  37.879   0.000   0.000
  11.890   0.383   0.000   0.000
  11.890   1.148   0.000   0.000
  11.890   1.913   0.000   0.000
  11.890   2.678   0.000   0.000
  11.890   3.444   0.000   0.000
  11.890   4.209   0.000   0.000
  11.890   4.974   0.000   0.000
  11.890   5.739   0.000   0.000
  11.890   6.504   0.000   0.000
  11.890   7.270   0.000   0.000
  11.890   8.035   0.333   0.500
  11.890   8.800   0.000   0.000
  11.890   9.565   0.000   0.000
  11.890  10.331   0.000   0.000
  11.890  11.096   0.000   0.000
  11.890  11.861   0.000   0.000
  11.890  12.626   0.000   0.000
  11.890  13.391   1.000   0.000
  11.890  14.157   0.000   0.000
  11.890  14.922   0.000   0.000
  11.890  15.687   0.000   0.000
  11.890  16.452   0.000   0.000
  11.890  17.218   0.000   0.000
  11.890  17.983   0.000   0.333
  11.890  18.748   0.000   0.167
  11.890  19.513   0.000   0.000
  11.890  20.278   0.000   0.000
  11.890  21.044   0.000   0.000
  11.890  21.809   0.000   0.333
  11.890  22.574   0.000   0.000
  11.890  23.339   0.000   0.000
  11.890  24.105   1.000   0.500
  11.890  24.870   0.000   0.000
  11.890  25.635   0.000   0.000
  11.890  26.400   0.000   0.000
  11.890  27.165   0.000   0.167
  11.890  27.931   0.000   0.167
  11.890  28.696   0.000   0.167
  11.890  29.461   0.000   0.000
  11.890  30.226   0.000   0.000
  11.890  30.992   0.000   0.000
  11.890  31.757   0.000   0.167
  11.890  32.522   0.000   0.000
  11.890  33.287   0.000   0.000
  11.890  34.052   0.000   0.000
  11.890  34.818   0.000   0.000
  11.890  35.583   0.667   0.167
  11.890  36.348   0.000   0.000
  11.890  37.113   0.000   0.000
  11.890  37.879   0.000   0.000
  12.470   0.383   0.000   0.000
  12.470   1.148   0.000   0.000
  12.470   1.913   0.000   0.333
  12.470   2.678   0.000   0.000
  12.470   3.444   0.000   0.167
  12.470   4.209   0.000   0.333
  12.470   4.974   0.000   0.000
  12.470   5.739   0.000   0.000
  12.470   6.504   0.000   0.000
  12.470   7.270   0.000   0.000
  12.470   8.035   0.667   0.000
  12.470   8.800   0.000   0.000
  12.470   9.565   0.000   0.000
  12.470  10.331   0.000   0.000
  12.470  11.096   0.000   0.000
  12.470  11.861   0.000   0.000
  12.470  12.626   0.000   0.000
  12.470  13.391   0.000   0.000
  12.470  14.157   0.000   0.000
  12.470  14.922   0.000   0.000
  12.470  15.687   0.000   0.000
  12.470  16.452   0.000   0.000
  12.470  17.218   0.000   0.000
  12.470  17.983   0.000   0.000
  12.470  18.748   0.000   0.000
  12.470  19.513   0.000   0.000
  12.470  20.278   0.000   0.000
  12.470  21.044   0.000   0.000
  12.470  21.809   0.000   0.167
  12.470  22.574   0.000   0.000
  12.470  23.339   0.000   0.000
  12.470  24.105   0.000   0.000
  12.470  24.870   0.000   0.333
  12.470  25.635   0.000   0.000
  12.470  26.400   0.000   0.000
  12.470  27.165   0.000   0.000
  12.470  27.931   0.000   0.000
  12.470  28.696   0.000   0.000
  12.470  29.461   0.000   0.000
  12.470  30.226   0.000   0.000
  12.470  30.992   1.000   0.500
  12.470  31.757   0.000   0.333
  12.470  32.522   0.000   0.000
  12.470  33.287   0.000   0.000
  12.470  34.052   0.000   0.000
  12.470  34.818   0.000   0.000
  12.470  35.583   0.000   0.000
  12.470  36.348   0.000   0.167
  12.470  37.113   0.000   0.333
  12.470  37.879   0.000   0.333
  13.050   0.383   0.000   0.000
  13.050   1.148   0.000   0.000
  13.050   1.913   0.000   0.167
  13.050   2.678   0.000   0.000
  13.050   3.444   0.000   0.000
  13.050   4.209   0.000   0.000
  13.050   4.974   0.000   0.000
  13.050   5.739   0.000   0.000
  13.050   6.504   0.000   0.000
  13.050   7.270   0.000   0.000
  13.050   8.035   0.000   0.000
  13.050   8.800   0.000   0.000
  13.050   9.565   0.000   0.000
  13.050  10.331   0.000   0.000
  13.050  11.096   0.000   0.000
  13.050  11.861   0.000   0.000
  13.050  12.626   0.000   0.167
  13.050  13.391   0.000   0.333
  13.050  14.157   0.000   0.000
  13.050  14.922   0.000   0.000
  13.050  15.687   0.000   0.000
  13.050  16.452   0.000   0.000
  13.050  17.218   0.000   0.000
  13.050  17.983   0.000   0.000
  13.050  18.748   0.000   0.000
  13.050  19.513   0.000   0.000
  13.050  20.278   0.000   0.000
  13.050  21.044   0.000   0.000
  13.050  21.809   0.000   0.000
  13.050  22.574   0.000   0.000
  13.050  23.339   0.000   0.000
  13.050  24.105   0.000   0.167
  13.050  24.870   0.000   0.000
  13.050  25.635   0.000   0.000
  13.050  26.400   0.000   0.000
  13.050  27.165   0.000   0.000
  13.050  27.931   0.000   0.000
  13.050  28.696   0.000   0.000
  13.050  29.461   0.000   0.000
  13.050  30.226   0.000   0.000
  13.050  30.992   0.000   0.000
  13.050  31.757   0.000   0.000
  13.050  32.522   0.000   0.000
  13.050  33.287   0.000   0.000
  13.050  34.052   0.000   0.000
  13.050  34.818   0.000   0.000
  13.050  35.583   0.000   0.000
  13.050  36.348   0.000   0.000
  13.050  37.113   0.000   0.000
  13.050  37.879   0.000   0.000
  13.630   0.383   0.000   0.000
  13.630   1.148   0.000   0.000
  13.630   1.913   0.000   0.000
  13.630   2.678   0.000   0.000
  13.630   3.444   0.000   0.000
  13.630   4.209   0.000   0.000
  13.630   4.974   0.000   0.000
  13.630   5.739   0.000   0.167
  13.630   6.504   0.000   0.333
  13.630   7.270   0.000   0.167
  13.630   8.035   0.000   0.000
  13.630   8.800   0.000   0.500
  13.630   9.565   0.000   0.000
  13.630  10.331   0.000   0.333
  13.630  11.096   0.000   0.167
  13.630  11.861   0.000   0.000
  13.630  12.626   0.000   0.000
  13.630  13.391   0.000   0.000
  13.630  14.157   0.000   0.000
  13.630  14.922   0.000   0.000
  13.630  15.687   0.000   0.000
  13.630  16.452   0.000   0.000
  13.630  17.218   0.000   0.000
  13.630  17.983   0.000   0.000
  13.630  18.748   0.000   0.333
  13.630  19.513   0.000   0.167
  13.630  20.278   0.000   0.000
  13.630  21.044   0.000   0.000
  13.630  21.809   0.000   0.333
  13.630  22.574   0.000   0.000
  13.630  23.339   0.000   0.000
  13.630  24.105   0.000   0.000
  13.630  24.870   0.000   0.000
  13.630  25.635   0.000   0.000
  13.630  26.400   0.000   0.000
  13.630  27.165   0.000   0.000
  13.630  27.931   0.000   0.000
  13.630  28.696   0.000   0.000
  13.630  29.461   0.000   0.167
  13.630  30.226   0.000   0.000
  13.630  30.992   0.000   0.000
  13.630  31.757   0.000   0.000
  13.630  32.522   0.000   0.000
  13.630  33.287   0.000   0.000
  13.630  34.052   0.000   0.000
  13.630  34.818   0.000   0.000
  13.630  35.583   0.000   0.167
  13.630  36.348   0.000   0.500
  13.630  37.113   0.000   0.000
  13.630  37.879   0.000   0.000
  14.210   0.383   0.000   0.000
  14.210   1.148   0.000   0.000
  14.210   1.913   0.000   0.000
  14.210   2.678   0.000   0.000
  14.210   3.444   0.000   0.000
  14.210   4.209   0.000   0.000
  14.210   4.974   0.000   0.167
  14.210   5.739   0.667   0.167
  14.210   6.504   0.333   0.000
  14.210   7.270   0.000   0.000
  14.210   8.035   0.000   0.000
  14.210   8.800   0.000   0.000
  14.210   9.565   1.000   0.000
  14.210  10.331   0.000   0.000
  14.210  11.096   0.000   0.000
  14.210  11.861   0.000   0.000
  14.210  12.626   0.000   0.000
  14.210  13.391   0.333   0.000
  14.210  14.157   0.667   0.000
  14.210  14.922   0.000   0.000
  14.210  15.687   0.000   0.000
  14.210  16.452   0.000   0.000
  14.210  17.218   0.000   0.000
  14.210  17.983   0.000   0.000
  14.210  18.748   0.000   0.000
  14.210  19.513   0.000   0.000
  14.210  20.278   0.000   0.000
  14.210  21.044   0.000   0.000
  14.210  21.809   0.000   0.167
  14.210  22.574   0.000   0.333
  14.210  23.339   0.000   0.167
  14.210  24.105   0.000   0.000
  14.210  24.870   0.000   0.000
  14.210  25.635   0.000   0.000
  14.210  26.400   0.000   0.000
  14.210  27.165   0.000   0.000
  14.210  27.931   0.000   0.500
  14.210  28.696   0.000   0.000
  14.210  29.461   0.000   0.333
  14.210  30.226   0.000   0.000
  14.210  30.992   0.000   0.000
  14.210  31.757   0.000   0.000
  14.210  32.522   0.000   0.000
  14.210  33.287   0.000   0.000
  14.210  34.052   0.000   0.000
  14.210  34.818   0.000   0.000
  14.210  35.583   0.000   0.000
  14.210  36.348   0.000   0.000
  14.210  37.113   0.000   0.000
  14.210  37.879   0.000   0.000
  14.790   0.383   0.000   0.000
  14.790   1.148   0.000   0.000
  14.790   1.913   0.000   0.000
  14.790   2.678   0.000   1.000
  14.790   3.444   0.000   0.000
  14.790   4.209   0.000   0.000
  14.790   4.974   0.000   0.000
  14.790   5.739   0.000   0.000
  14.790   6.504   0.000   0.000
  14.790   7.270   0.000   0.000
  14.790   8.035   0.000   0.000
  14.790   8.800   0.000   0.000
  14.790   9.565   0.000   0.500
  14.790  10.331   0.000   0.000
  14.790  11.096   0.000   0.000
  14.790  11.861   0.000   0.000
  14.790  12.626   0.000   0.000
  14.790  13.391   0.000   0.000
  14.790  14.157   0.000   0.500
  14.790  14.922   0.000   0.000
  14.790  15.687   0.000   0.000
  14.790  16.452   0.000   0.000
  14.790  17.218   0.000   0.000
  14.790  17.983   0.000   0.000
  14.790  18.748   0.000   0.000
  14.790  19.513   0.000   0.000
  14.790  20.278   0.000   0.500
  14.790  21.044   0.000   0.333
  14.790  21.809   0.000   0.000
  14.790  22.574   0.000   0.000
  14.790  23.339   0.000   0.000
  14.790  24.105   0.000   0.000
  14.790  24.870   0.000   0.000
  14.790  25.635   0.000   0.500
  14.790  26.400   0.000   0.000
  14.790  27.165   0.000   0.000
  14.790  27.931   0.000   0.000
  14.790  28.696   0.667   0.000
  14.790  29.461   0.000   0.000
  14.790  30.226   0.000   0.000
  14.790  30.992   0.000   0.000
  14.790  31.757   0.000   0.000
  14.790  32.522   0.000   0.000
  14.790  33.287   0.000   0.000
  14.790  34.052   0.000   0.000
  14.790  34.818   0.000   0.000
  14.790  35.583   0.000   0.333
  14.790  36.348   1.000   0.000
  14.790  37.113   0.000   0.000
  14.790  37.879   0.000   0.000
  15.370   0.383   0.000   0.000
  15.370   1.148   0.000   0.000
  15.370   1.913   0.000   0.000
  15.370   2.678   1.000   0.000
  15.370   3.444   0.000   0.000
  15.370   4.209   0.000   0.000
  15.370   4.974   0.000   0.000
  15.370   5.739   0.000   0.000
  15.370   6.504   0.000   0.000
  15.370   7.270   0.000   0.000
  15.370   8.035   0.000   0.000
  15.370   8.800   0.000   0.000
  15.370   9.565   0.000   0.000
  15.370  10.331   0.000   0.000
  15.370  11.096   0.000   0.000
  15.370  11.861   0.000   0.000
  15.370  12.626   0.000   0.000
  15.370  13.391   0.000   0.500
  15.370  14.157   0.000   0.000
  15.370  14.922   0.000   0.000
  15.370  15.687   0.000   0.000
  15.370  16.452   0.000   0.500
  15.370  17.218   0.000   0.000
  15.370  17.983   0.000   0.000
  15.370  18.748   0.000   0.000
  15.370  19.513   0.000   0.000
  15.370  20.278   0.000   0.000
  15.370  21.044   0.000   0.000
  15.370  21.809   0.000   0.000
  15.370  22.574   0.000   0.000
  15.370  23.339   0.000   0.000
  15.370  24.105   0.000   0.000
  15.370  24.870   0.000   0.000
  15.370  25.635   0.000   0.167
  15.370  26.400   0.000   0.000
  15.370  27.165   0.000   0.000
  15.370  27.931   0.000   0.000
  15.370  28.696   0.000   0.000
  15.370  29.461   0.000   0.000
  15.370  30.226   0.000   0.000
  15.370  30.992   0.000   0.000
  15.370  31.757   0.000   0.000
  15.370  32.522   0.000   0.000
  15.370  33.287   0.000   0.000
  15.370  34.052   0.000   0.000
  15.370  34.818   0.000   0.167
  15.370  35.583   0.000   0.500
  15.370  36.348   0.000   0.000
  15.370  37.113   0.000   0.000
  15.370  37.879   0.000   0.000
  15.950   0.383   0.000   0.000
  15.950   1.148   0.000   0.333
  15.950   1.913   0.000   0.000
  15.950   2.678   0.000   0.000
  15.950   3.444   0.000   0.000
  15.950   4.209   0.000   0.000
  15.950   4.974   0.000   0.000
  15.950   5.739   0.000   0.500
  15.950   6.504   0.000   0.000
  15.950   7.270   0.000   0.000
  15.950   8.035   0.000   0.000
  15.950   8.800   0.000   0.000
  15.950   9.565   0.000   0.000
  15.950  10.331   0.000   0.000
  15.950  11.096   0.000   0.000
  15.950  11.861   0.000   0.000
  15.950  12.626   0.000   0.000
  15.950  13.391   0.000   0.000
  15.950  14.157   0.000   0.000
  15.950  14.922   0.000   0.000
  15.950  15.687   0.000   0.000
  15.950  16.452   0.000   0.000
  15.950  17.218   0.333   0.000
  15.950  17.983   0.000   0.500
  15.950  18.748   0.000   0.000
  15.950  19.513   0.000   0.000
  15.950  20.278   0.000   0.000
  15.950  21.044   0.000   0.000
  15.950  21.809   0.000   0.000
  15.950  22.574   0.000   0.000
  15.950  23.339   0.000   0.000
  15.950  24.105   0.000   0.000
  15.950  24.870   0.000   0.000
  15.950  25.635   0.333   0.333
  15.950  26.400   0.000   0.000
  15.950  27.165   0.000   0.000
  15.950  27.931   0.000   0.000
  15.950  28.696   0.000   0.000
  15.950  29.461   0.000   0.000
  15.950  30.226   0.000   0.000
  15.950  30.992   0.000   0.000
  15.950  31.757   0.000   0.000
  15.950  32.522   0.000   0.000
  15.950  33.287   0.000   0.000
  15.950  34.052   0.000   0.000
  15.950  34.818   0.000   0.000
  15.950  35.583   0.000   0.000
  15.950  36.348   0.000   0.000
  15.950  37.113   0.000   0.000
  15.950  37.879   0.000   0.500
  16.530   0.383   1.000   0.000
  16.530   1.148   0.000   0.167
  16.530   1.913   0.000   0.000
  16.530   2.678   0.000   0.000
  16.530   3.444   0.000   0.000
  16.530   4.209   0.000   0.000
  16.530   4.974   0.000   0.000
  16.530   5.739   0.667   0.000
  16.530   6.504   0.333   0.000
  16.530   7.270   0.000   0.000
  16.530   8.035   0.000   0.000
  16.530   8.800   0.000   0.000
  16.530   9.565   0.000   0.000
  16.530  10.331   0.000   0.000
  16.530  11.096   0.000   0.000
  16.530  11.861   0.000   0.000
  16.530  12.626   0.000   0.000
  16.530  13.391   0.000   0.000
  16.530  14.157   0.000   0.000
  16.530  14.922   0.000   0.000
  16.530  15.687   0.000   0.000
  16.530  16.452   0.000   0.167
  16.530  17.218   0.667   0.333
  16.530  17.983   0.000   0.000
  16.530  18.748   0.000   0.000
  16.530  19.513   0.000   0.000
  16.530  20.278   0.000   0.000
  16.530  21.044   0.000   0.000
  16.530  21.809   0.000   0.000
  16.530  22.574   0.000   0.000
  16.530  23.339   0.000   0.000
  16.530  24.105   0.000   0.000
  16.530  24.870   0.000   0.000
  16.530  25.635   0.667   0.000
  16.530  26.400   0.000   0.000
  16.530  27.165   0.000   0.167
  16.530  27.931   0.000   0.000
  16.530  28.696   0.000   0.167
  16.530  29.461   0.000   0.333
  16.530  30.226   0.000   0.000
  16.530  30.992   0.000   0.000
  16.530  31.757   0.000   0.667
  16.530  32.522   1.000   0.000
  16.530  33.287   0.000   0.000
  16.530  34.052   0.000   0.333
  16.530  34.818   0.000   0.000
  16.530  35.583   0.000   0.000
  16.530  36.348   0.000   0.000
  16.530  37.113   0.000   0.000
  16.530  37.879   0.000   0.000
  17.110   0.383   0.000   0.000
  17.110   1.148   0.000   0.000
  17.110   1.913   0.000   0.000
  17.110   2.678   0.000   0.167
  17.110   3.444   0.000   0.333
  17.110   4.209   0.000   0.000
  17.110   4.974   0.000   0.167
  17.110   5.739   0.000   0.000
  17.110   6.504   0.000   0.000
  17.110   7.270   0.000   0.500
  17.110   8.035   0.000   0.000
  17.110   8.800   1.000   0.000
  17.110   9.565   0.000   0.500
  17.110  10.331   0.000   0.000
  17.110  11.096   0.000   0.000
  17.110  11.861   0.000   0.000
  17.110  12.626   0.000   0.000
  17.110  13.391   0.000   0.000
  17.110  14.157   0.000   0.000
  17.110  14.922   0.000   0.333
  17.110  15.687   0.000   0.000
  17.110  16.452   0.000   0.000
  17.110  17.218   0.000   0.000
  17.110  17.983   0.000   0.000
  17.110  18.748   0.000   0.000
  17.110  19.513   0.000   0.000
  17.110  20.278   0.000   0.167
  17.110  21.044   0.000   0.500
  17.110  21.809   0.000   0.000
  17.110  22.574   0.000   0.000
  17.110  23.339   0.000   0.000
  17.110  24.105   0.000   0.000
  17.110  24.870   0.000   0.500
  17.110  25.635   0.000   0.000
  17.110  26.400   0.000   0.333
  17.110  27.165   0.000   0.000
  17.110  27.931   0.000   0.000
  17.110  28.696   0.000   0.000
  17.110  29.461   1.000   0.000
  17.110  30.226   0.000   0.000
  17.110  30.992   0.000   0.000
  17.110  31.757   0.000   0.000
  17.110  32.522   0.000   0.167
  17.110  33.287   0.000   0.000
  17.110  34.052   0.000   0.000
  17.110  34.818   0.000   0.333
  17.110  35.583   0.000   0.000
  17.110  36.348   0.000   0.000
  17.110  37.113   0.000   0.000
  17.110  37.879   0.000   0.000
  17.690   0.383   0.000   0.000
  17.690   1.148   0.000   0.000
  17.690   1.913   0.000   0.000
  17.690   2.678   0.000   0.000
  17.690   3.444   0.667   0.000
  17.690   4.209   0.000   0.333
  17.690   4.974   0.000   0.000
  17.690   5.739   0.000   0.000
  17.690   6.504   0.000   0.000
  17.690   7.270   0.000   0.000
  17.690   8.035   0.000   0.000
  17.690   8.800   0.000   0.167
  17.690   9.565   0.000   0.000
  17.690  10.331   0.000   0.000
  17.690  11.096   0.000   0.000
  17.690  11.861   0.000   0.000
  17.690  12.626   0.000   0.000
  17.690  13.391   0.000   0.000
  17.690  14.157   1.000   0.000
  17.690  14.922   0.000   0.167
  17.690  15.687   0.000   0.000
  17.690  16.452   0.000   0.500
  17.690  17.218   0.000   0.000
  17.690  17.983   0.000   0.000
  17.690  18.748   0.000   0.000
  17.690  19.513   0.000   0.000
  17.690  20.278   0.000   0.000
  17.690  21.044   0.000   0.000
  17.690  21.809   0.000   0.000
  17.690  22.574   0.000   0.000
  17.690  23.339   0.000   0.000
  17.690  24.105   0.000   0.000
  17.690  24.870   0.000   0.000
  17.690  25.635   0.000   0.000
  17.690  26.400   0.000   0.000
  17.690  27.165   0.000   0.000
  17.690  27.931   0.000   0.000
  17.690  28.696   0.000   0.500
  17.690  29.461   0.000   0.167
  17.690  30.226   0.000   0.333
  17.690  30.992   0.000   0.000
  17.690  31.757   0.333   0.000
  17.690  32.522   0.000   0.000
  17.690  33.287   0.000   0.000
  17.690  34.052   0.000   0.000
  17.690  34.818   0.000   0.167
  17.690  35.583   0.000   0.333
  17.690  36.348   0.000   0.000
  17.690  37.113   0.000   0.500
  17.690  37.879   0.000   0.000
  18.270   0.383   0.000   0.500
  18.270   1.148   0.000   0.000
  18.270   1.913   0.000   0.167
  18.270   2.678   0.000   0.000
  18.270   3.444   0.333   0.000
  18.270   4.209   0.000   0.167
  18.270   4.974   0.000   0.000
  18.270   5.739   0.000   0.000
  18.270   6.504   0.000   0.000
  18.270   7.270   0.000   0.000
  18.270   8.035   0.000   0.000
  18.270   8.800   0.000   0.333
  18.270   9.565   0.000   0.000
  18.270  10.331   0.000   0.000
  18.270  11.096   0.000   0.000
  18.270  11.861   0.000   0.000
  18.270  12.626   0.000   0.000
  18.270  13.391   0.000   0.000
  18.270  14.157   0.000   0.333
  18.270  14.922   0.000   0.000
  18.270  15.687   0.000   0.000
  18.270  16.452   0.000   0.000
  18.270  17.218   0.000   0.000
  18.270  17.983   0.000   0.000
  18.270  18.748   0.000   0.000
  18.270  19.513   0.000   0.000
  18.270  20.278   0.000   0.000
  18.270  21.044   0.333   0.000
  18.270  21.809   0.000   0.000
  18.270  22.574   0.000   0.000
  18.270  23.339   0.000   0.167
  18.270  24.105   0.000   0.500
  18.270  24.870   0.000   0.000
  18.270  25.635   0.000   0.000
  18.270  26.400   0.000   0.000
  18.270  27.165   0.000   0.000
  18.270  27.931   0.000   0.000
  18.270  28.696   0.000   0.000
  18.270  29.461   0.000   0.000
  18.270  30.226   0.000   0.000
  18.270  30.992   0.000   0.000
  18.270  31.757   0.000   0.000
  18.270  32.522   0.000   0.000
  18.270  33.287   0.000   0.000
  18.270  34.052   0.000   0.000
  18.270  34.818   0.000   0.000
  18.270  35.583   0.000   0.000
  18.270  36.348   1.000   0.167
  18.270  37.113   0.000   0.000
  18.270  37.879   0.000   0.000
  18.850   0.383   0.000   0.000
  18.850   1.148   1.000   0.000
  18.850   1.913   0.000   0.333
  18.850   2.678   0.000   0.000
  18.850   3.444   0.000   0.000
  18.850   4.209   0.000   0.000
  18.850   4.974   0.000   0.000
  18.850   5.739   0.000   0.000
  18.850   6.504   0.000   0.000
  18.850   7.270   0.000   0.000
  18.850   8.035   0.000   0.000
  18.850   8.800   0.000   0.000
  18.850   9.565   0.000   0.000
  18.850  10.331   0.000   0.000
  18.850  11.096   0.000   0.000
  18.850  11.861   0.000   0.000
  18.850  12.626   0.000   0.000
  18.850  13.391   0.000   0.000
  18.850  14.157   0.000   0.333
  18.850  14.922   0.000   0.000
  18.850  15.687   0.000   0.000
  18.850  16.452   0.000   0.000
  18.850  17.218   0.000   0.000
  18.850  17.983   0.000   0.000
  18.850  18.748   0.000   0.000
  18.850  19.513   0.000   0.167
  18.850  20.278   0.000   0.000
  18.850  21.044   0.667   0.000
  18.850  21.809   0.000   0.333
  18.850  22.574   0.000   0.000
