#   Computed with "calc_table.py"
# Calculate a table of pairwise energies and forces between "INT" atoms
# in the lipid membrane model described in 
#   Brannigan et al, Phys Rev E, 72, 011915 (2005)
# The energy of this interaction U(r) = eps*(0.4*(sigma/r)^12 - 3.0*(sigma/r)^2)
# where here sigma = 7.5, and epsilon = 2.75/4.184
# The interaction is truncated.  See below.
#
# In this version I used the CHARMM switching function
#  S(r) = (rc2^2 - r^2)^2 * (rc2^2 + 2*r^2 - 3*rc1^2) / (rc2^2-rc1^2)^3
# with rc1=22.0 and rc2=22.5
# I realized later this is not what we want because although energy is conserved
# all enrgies are shifted with respect to energies used in the Brannigan paper
# (by 0.27 kCal/mole) and also probably with the later Watson JCP 2011 paper.
# (So don't use this.)

INT
N 1001 R

622 15.02 -0.491574255654 -0.0654139035635
623 15.04 -0.490268579353 -0.0651539551544
624 15.06 -0.48896808833 -0.0648953744073
625 15.08 -0.487672755318 -0.0646381524742
626 15.1 -0.486382553231 -0.0643822805732
627 15.12 -0.485097455153 -0.064127749988
628 15.14 -0.483817434347 -0.0638745520673
629 15.16 -0.482542464244 -0.0636226782243
630 15.18 -0.481272518447 -0.0633721199364
631 15.2 -0.480007570732 -0.0631228687444
632 15.22 -0.47874759504 -0.062874916252
633 15.24 -0.47749256548 -0.0626282541256
634 15.26 -0.476242456327 -0.0623828740934
635 15.28 -0.474997242023 -0.0621387679452
636 15.3 -0.473756897171 -0.061895927532
637 15.32 -0.472521396538 -0.061654344765
638 15.34 -0.47129071505 -0.0614140116156
639 15.36 -0.470064827795 -0.0611749201148
640 15.38 -0.46884371002 -0.0609370623526
641 15.4 -0.467627337129 -0.0607004304776
642 15.42 -0.466415684681 -0.0604650166966
643 15.44 -0.465208728392 -0.0602308132741
644 15.46 -0.464006444132 -0.0599978125317
645 15.48 -0.462808807924 -0.0597660068478
646 15.5 -0.461615795941 -0.0595353886571
647 15.52 -0.460427384511 -0.05930595045
648 15.54 -0.459243550107 -0.0590776847726
649 15.56 -0.458064269352 -0.0588505842256
650 15.58 -0.456889519019 -0.0586246414643
651 15.6 -0.455719276024 -0.0583998491983
652 15.62 -0.454553517429 -0.0581762001905
653 15.64 -0.453392220442 -0.057953687257
654 15.66 -0.452235362413 -0.057732303267
655 15.68 -0.451082920833 -0.0575120411416
656 15.7 -0.449934873335 -0.0572928938542
657 15.72 -0.448791197693 -0.0570748544293
658 15.74 -0.447651871818 -0.0568579159429
659 15.76 -0.446516873761 -0.0566420715213
660 15.78 -0.445386181709 -0.0564273143414
661 15.8 -0.444259773984 -0.0562136376296
662 15.82 -0.443137629046 -0.0560010346619
663 15.84 -0.442019725484 -0.0557894987635
664 15.86 -0.440906042025 -0.0555790233081
665 15.88 -0.439796557526 -0.0553696017175
666 15.9 -0.438691250974 -0.0551612274618
667 15.92 -0.437590101489 -0.0549538940582
668 15.94 -0.436493088316 -0.0547475950712
669 15.96 -0.435400190832 -0.0545423241119
670 15.98 -0.43431138854 -0.0543380748379
671 16.0 -0.43322666107 -0.0541348409526
672 16.02 -0.432145988175 -0.0539326162051
673 16.04 -0.431069349735 -0.0537313943897
674 16.06 -0.429996725754 -0.0535311693457
675 16.08 -0.428928096357 -0.0533319349567
676 16.1 -0.427863441792 -0.0531336851505
677 16.12 -0.426802742427 -0.0529364138987
678 16.14 -0.425745978752 -0.0527401152166
679 16.16 -0.424693131374 -0.0525447831621
680 16.18 -0.423644181021 -0.0523504118362
681 16.2 -0.422599108535 -0.0521569953823
682 16.22 -0.421557894878 -0.0519645279856
683 16.24 -0.420520521127 -0.0517730038733
684 16.26 -0.419486968473 -0.0515824173138
685 16.28 -0.418457218222 -0.0513927626166
686 16.3 -0.417431251794 -0.051204034132
687 16.32 -0.41640905072 -0.0510162262506
688 16.34 -0.415390596643 -0.050829333403
689 16.36 -0.41437587132 -0.0506433500599
690 16.38 -0.413364856614 -0.0504582707309
691 16.4 -0.4123575345 -0.0502740899651
692 16.42 -0.411353887061 -0.0500908023503
693 16.44 -0.410353896488 -0.0499084025129
694 16.46 -0.409357545078 -0.0497268851171
695 16.48 -0.408364815236 -0.0495462448654
696 16.5 -0.407375689471 -0.0493664764977
697 16.52 -0.406390150398 -0.0491875747911
698 16.54 -0.405408180736 -0.0490095345599
699 16.56 -0.404429763307 -0.0488323506547
700 16.58 -0.403454881035 -0.0486560179629
701 16.6 -0.402483516947 -0.0484805314077
702 16.62 -0.401515654171 -0.0483058859483
703 16.64 -0.400551275935 -0.0481320765793
704 16.66 -0.399590365567 -0.0479590983305
705 16.68 -0.398632906494 -0.0477869462668
706 16.7 -0.397678882242 -0.0476156154877
707 16.72 -0.396728276432 -0.0474451011271
708 16.74 -0.395781072786 -0.0472753983531
709 16.76 -0.394837255119 -0.0471065023674
710 16.78 -0.393896807344 -0.0469384084057
711 16.8 -0.392959713468 -0.0467711117367
712 16.82 -0.392025957591 -0.0466046076623
713 16.84 -0.391095523909 -0.0464388915171
714 16.86 -0.390168396708 -0.0462739586683
715 16.88 -0.389244560371 -0.0461098045155
716 16.9 -0.388323999367 -0.04594642449
717 16.92 -0.38740669826 -0.0457838140552
718 16.94 -0.386492641704 -0.0456219687059
719 16.96 -0.385581814441 -0.0454608839681
720 16.98 -0.384674201304 -0.0453005553988
721 17.0 -0.383769787214 -0.045140978586
722 17.02 -0.382868557178 -0.044982149148
723 17.04 -0.381970496294 -0.0448240627335
724 17.06 -0.381075589744 -0.0446667150213
725 17.08 -0.380183822797 -0.0445101017198
726 17.1 -0.379295180808 -0.0443542185673
727 17.12 -0.378409649215 -0.0441990613312
728 17.14 -0.377527213543 -0.0440446258081
729 17.16 -0.376647859399 -0.0438909078236
730 17.18 -0.375771572474 -0.0437379032318
731 17.2 -0.374898338542 -0.0435856079154
732 17.22 -0.374028143456 -0.0434340177851
733 17.24 -0.373160973156 -0.0432831287799
734 17.26 -0.372296813658 -0.0431329368663
735 17.28 -0.371435651061 -0.0429834380385
736 17.3 -0.370577471542 -0.0428346283181
737 17.32 -0.36972226136 -0.0426865037537
738 17.34 -0.368870006851 -0.0425390604208
739 17.36 -0.368020694428 -0.0423922944219
740 17.38 -0.367174310584 -0.0422462018856
741 17.4 -0.366330841888 -0.0421007789672
742 17.42 -0.365490274987 -0.0419560218477
743 17.44 -0.364652596601 -0.0418119267343
744 17.46 -0.363817793529 -0.0416684898597
745 17.48 -0.362985852643 -0.0415257074823
746 17.5 -0.362156760891 -0.0413835758856
747 17.52 -0.361330505294 -0.0412420913782
748 17.54 -0.360507072947 -0.0411012502937
749 17.56 -0.359686451017 -0.0409610489904
750 17.58 -0.358868626746 -0.0408214838511
751 17.6 -0.358053587446 -0.040682551283
752 17.62 -0.357241320501 -0.0405442477172
753 17.64 -0.356431813368 -0.0404065696091
754 17.66 -0.355625053571 -0.0402695134376
755 17.68 -0.354821028707 -0.0401330757054
756 17.7 -0.354019726443 -0.0399972529384
757 17.72 -0.353221134513 -0.0398620416858
758 17.74 -0.352425240721 -0.0397274385201
759 17.76 -0.351632032941 -0.0395934400363
760 17.78 -0.350841499111 -0.0394600428522
761 17.8 -0.35005362724 -0.0393272436083
762 17.82 -0.349268405403 -0.0391950389674
763 17.84 -0.34848582174 -0.0390634256142
764 17.86 -0.347705864458 -0.0389324002559
765 17.88 -0.346928521831 -0.0388019596211
766 17.9 -0.346153782197 -0.0386721004602
767 17.92 -0.345381633958 -0.0385428195454
768 17.94 -0.344612065582 -0.0384141136698
769 17.96 -0.343845065599 -0.038285979648
770 17.98 -0.343080622605 -0.0381584143155
771 18.0 -0.342318725256 -0.0380314145287
772 18.02 -0.341559362274 -0.0379049771648
773 18.04 -0.340802522441 -0.0377790991214
774 18.06 -0.340048194601 -0.0376537773164
775 18.08 -0.33929636766 -0.0375290086883
776 18.1 -0.338547030586 -0.0374047901954
777 18.12 -0.337800172405 -0.0372811188161
778 18.14 -0.337055782206 -0.0371579915483
779 18.16 -0.336313849135 -0.0370354054099
780 18.18 -0.335574362401 -0.0369133574381
781 18.2 -0.33483731127 -0.0367918446895
782 18.22 -0.334102685065 -0.0366708642398
783 18.24 -0.333370473171 -0.0365504131839
784 18.26 -0.332640665028 -0.0364304886354
785 18.28 -0.331913250135 -0.0363110877269
786 18.3 -0.331188218047 -0.0361922076096
787 18.32 -0.330465558377 -0.0360738454529
788 18.34 -0.329745260794 -0.0359559984449
789 18.36 -0.329027315024 -0.0358386637917
790 18.38 -0.328311710846 -0.0357218387177
791 18.4 -0.327598438096 -0.0356055204649
792 18.42 -0.326887486666 -0.0354897062933
793 18.44 -0.326178846502 -0.0353743934808
794 18.46 -0.325472507603 -0.0352595793223
795 18.48 -0.324768460023 -0.0351452611307
796 18.5 -0.324066693869 -0.0350314362357
797 18.52 -0.323367199302 -0.0349181019845
798 18.54 -0.322669966536 -0.0348052557411
799 18.56 -0.321974985837 -0.0346928948865
800 18.58 -0.321282247522 -0.0345810168186
801 18.6 -0.320591741963 -0.0344696189517
802 18.62 -0.31990345958 -0.0343586987167
803 18.64 -0.319217390847 -0.0342482535611
804 18.66 -0.318533526287 -0.0341382809484
805 18.68 -0.317851856475 -0.0340287783585
806 18.7 -0.317172372036 -0.0339197432873
807 18.72 -0.316495063644 -0.0338111732465
808 18.74 -0.315819922022 -0.0337030657637
809 18.76 -0.315146937946 -0.0335954183822
810 18.78 -0.314476102236 -0.0334882286609
811 18.8 -0.313807405764 -0.0333814941741
812 18.82 -0.31314083945 -0.0332752125115
813 18.84 -0.312476394261 -0.0331693812782
814 18.86 -0.311814061212 -0.033063998094
815 18.88 -0.311153831366 -0.0329590605941
816 18.9 -0.310495695833 -0.0328545664286
817 18.92 -0.309839645769 -0.0327505132621
818 18.94 -0.309185672378 -0.0326468987742
819 18.96 -0.308533766909 -0.032543720659
820 18.98 -0.307883920658 -0.0324409766249
821 19.0 -0.307236124965 -0.032338664395
822 19.02 -0.306590371218 -0.0322367817064
823 19.04 -0.305946650848 -0.0321353263106
824 19.06 -0.305304955332 -0.0320342959728
825 19.08 -0.304665276191 -0.0319336884725
826 19.1 -0.304027604989 -0.0318335016031
827 19.12 -0.303391933337 -0.0317337331714
828 19.14 -0.302758252887 -0.0316343809981
829 19.16 -0.302126555336 -0.0315354429176
830 19.18 -0.301496832424 -0.0314369167774
831 19.2 -0.300869075933 -0.0313388004388
832 19.22 -0.300243277689 -0.031241091776
833 19.24 -0.299619429558 -0.0311437886765
834 19.26 -0.298997523452 -0.031046889041
835 19.28 -0.298377551321 -0.030950390783
836 19.3 -0.297759505159 -0.0308542918291
837 19.32 -0.297143376999 -0.0307585901186
838 19.34 -0.296529158919 -0.0306632836034
839 19.36 -0.295916843034 -0.0305683702482
840 19.38 -0.295306421502 -0.0304738480301
841 19.4 -0.294697886519 -0.0303797149388
842 19.42 -0.294091230323 -0.0302859689762
843 19.44 -0.293486445192 -0.0301926081566
844 19.46 -0.292883523443 -0.0300996305063
845 19.48 -0.292282457431 -0.0300070340638
846 19.5 -0.291683239552 -0.0299148168796
847 19.52 -0.29108586224 -0.0298229770161
848 19.54 -0.290490317968 -0.0297315125477
849 19.56 -0.289896599248 -0.0296404215602
850 19.58 -0.289304698629 -0.0295497021514
851 19.6 -0.288714608697 -0.0294593524306
852 19.62 -0.288126322079 -0.0293693705184
853 19.64 -0.287539831437 -0.0292797545471
854 19.66 -0.28695512947 -0.0291905026603
855 19.68 -0.286372208916 -0.0291016130126
856 19.7 -0.285791062547 -0.0290130837702
857 19.72 -0.285211683174 -0.02892491311
858 19.74 -0.284634063644 -0.0288370992202
859 19.76 -0.284058196839 -0.0287496402998
860 19.78 -0.283484075678 -0.0286625345588
861 19.8 -0.282911693114 -0.028575780218
862 19.82 -0.282341042138 -0.0284893755087
863 19.84 -0.281772115775 -0.0284033186731
864 19.86 -0.281204907084 -0.0283176079638
865 19.88 -0.28063940916 -0.0282322416441
866 19.9 -0.280075615134 -0.0281472179874
867 19.92 -0.279513518168 -0.0280625352778
868 19.94 -0.278953111461 -0.0279781918096
869 19.96 -0.278394388245 -0.027894185887
870 19.98 -0.277837341786 -0.0278105158248
871 20.0 -0.277281965384 -0.0277271799475
872 20.02 -0.276728252372 -0.0276441765898
873 20.04 -0.276176196115 -0.0275615040963
874 20.06 -0.275625790013 -0.0274791608214
875 20.08 -0.275077027498 -0.0273971451294
876 20.1 -0.274529902035 -0.0273154553941
877 20.12 -0.27398440712 -0.0272340899992
878 20.14 -0.273440536283 -0.0271530473379
879 20.16 -0.272898283086 -0.027072325813
880 20.18 -0.27235764112 -0.0269919238365
881 20.2 -0.271818604012 -0.0269118398301
882 20.22 -0.271281165418 -0.0268320722247
883 20.24 -0.270745319024 -0.0267526194605
884 20.26 -0.270211058551 -0.0266734799867
885 20.28 -0.269678377747 -0.0265946522621
886 20.3 -0.269147270392 -0.026516134754
887 20.32 -0.268617730298 -0.0264379259393
888 20.34 -0.268089751307 -0.0263600243033
889 20.36 -0.267563327289 -0.0262824283405
890 20.38 -0.267038452145 -0.0262051365543
891 20.4 -0.266515119808 -0.0261281474567
892 20.42 -0.265993324239 -0.0260514595684
893 20.44 -0.265473059427 -0.0259750714189
894 20.46 -0.264954319394 -0.0258989815462
895 20.48 -0.264437098187 -0.0258231884968
896 20.5 -0.263921389885 -0.0257476908257
897 20.52 -0.263407188594 -0.0256724870964
898 20.54 -0.262894488451 -0.0255975758806
899 20.56 -0.262383283618 -0.0255229557586
900 20.58 -0.261873568289 -0.0254486253186
901 20.6 -0.261365336684 -0.0253745831572
902 20.62 -0.26085858305 -0.0253008278792
903 20.64 -0.260353301665 -0.0252273580972
904 20.66 -0.259849486832 -0.0251541724321
905 20.68 -0.259347132883 -0.0250812695126
906 20.7 -0.258846234176 -0.0250086479756
907 20.72 -0.258346785097 -0.0249363064654
908 20.74 -0.257848780059 -0.0248642436347
909 20.76 -0.257352213503 -0.0247924581434
910 20.78 -0.256857079894 -0.0247209486595
911 20.8 -0.256363373725 -0.0246497138585
912 20.82 -0.255871089517 -0.0245787524235
913 20.84 -0.255380221815 -0.0245080630453
914 20.86 -0.25489076519 -0.0244376444219
915 20.88 -0.254402714241 -0.0243674952592
916 20.9 -0.253916063592 -0.0242976142701
917 20.92 -0.253430807891 -0.0242280001751
918 20.94 -0.252946941814 -0.0241586517019
919 20.96 -0.252464460061 -0.0240895675856
920 20.98 -0.251983357357 -0.0240207465683
921 21.0 -0.251503628452 -0.0239521873994
922 21.02 -0.251025268123 -0.0238838888354
923 21.04 -0.25054827117 -0.0238158496399
924 21.06 -0.250072632417 -0.0237480685835
925 21.08 -0.249598346714 -0.0236805444437
926 21.1 -0.249125408934 -0.0236132760051
927 21.12 -0.248653813977 -0.023546262059
928 21.14 -0.248183556763 -0.0234795014037
929 21.16 -0.24771463224 -0.0234129928442
930 21.18 -0.247247035377 -0.0233467351922
931 21.2 -0.246780761168 -0.0232807272662
932 21.22 -0.246315804629 -0.0232149678915
933 21.24 -0.245852160803 -0.0231494558997
934 21.26 -0.245389824752 -0.0230841901292
935 21.28 -0.244928791564 -0.0230191694249
936 21.3 -0.244469056349 -0.0229543926381
937 21.32 -0.24401061424 -0.0228898586266
938 21.34 -0.243553460393 -0.0228255662547
939 21.36 -0.243097589986 -0.0227615143929
940 21.38 -0.242642998221 -0.0226977019182
941 21.4 -0.242189680321 -0.0226341277136
942 21.42 -0.241737631531 -0.0225707906687
943 21.44 -0.24128684712 -0.0225076896791
944 21.46 -0.240837322378 -0.0224448236465
945 21.48 -0.240389052616 -0.0223821914788
946 21.5 -0.239942033167 -0.02231979209
947 21.52 -0.239496259387 -0.0222576244002
948 21.54 -0.239051726653 -0.0221956873354
949 21.56 -0.238608430363 -0.0221339798275
950 21.58 -0.238166365937 -0.0220725008144
951 21.6 -0.237725528815 -0.02201124924
952 21.62 -0.237285914458 -0.0219502240539
953 21.64 -0.23684751835 -0.0218894242115
954 21.66 -0.236410335994 -0.0218288486741
955 21.68 -0.235974362915 -0.0217684964086
956 21.7 -0.235539594656 -0.0217083663878
957 21.72 -0.235106026784 -0.0216484575898
958 21.74 -0.234673654885 -0.0215887689986
959 21.76 -0.234242474563 -0.0215292996039
960 21.78 -0.233812481446 -0.0214700484006
961 21.8 -0.233383671179 -0.0214110143895
962 21.82 -0.232956039429 -0.0213521965765
963 21.84 -0.232529581881 -0.0212935939733
964 21.86 -0.232104294242 -0.0212352055967
965 21.88 -0.231680172236 -0.0211770304692
966 21.9 -0.231257211608 -0.0211190676184
967 21.92 -0.230835408122 -0.0210613160772
968 21.94 -0.230414757563 -0.021003774884
969 21.96 -0.229995255731 -0.0209464430823
970 21.98 -0.22957689845 -0.0208893197208
971 22.0 -0.229159681559 -0.0208324038534
972 22.02 -0.227697532318 -2.28355576752
973 22.04 -0.224261540025 -4.30370963551
974 22.06 -0.219027193657 -6.03843462807
975 22.08 -0.212169650716 -7.4595707691
976 22.1 -0.203863739455 -8.55238086278
977 22.12 -0.19428396108 -9.314255217
978 22.14 -0.183604491937 -9.75339759332
979 22.16 -0.171999185692 -9.88749226193
980 22.18 -0.159641575494 -9.74235204029
981 22.2 -0.146704876122 -9.35054719319
982 22.22 -0.133361986122 -8.75001507203
983 22.24 -0.119785489931 -7.98265037007
984 22.26 -0.10614765998 -7.09287587056
985 22.28 -0.092620458798 -6.12619356381
986 22.3 -0.0793755410867 -5.12771600891
987 22.32 -0.0665842557953 -4.14067781551
988 22.34 -0.0544176481745 -3.20492712039
989 22.36 -0.0430464618211 -2.35539693322
990 22.38 -0.0326411407082 -1.62055622558
991 22.4 -0.0233718312041 -1.02084063658
992 22.42 -0.0154083840774 -0.567062668154
993 22.44 -0.0089203564902 -0.258801242659
994 22.46 -0.00407701397905 -0.0827704949146
995 22.48 -0.00104733242302 -0.0111676702695
996 22.5 -0.0 -0.0
997 22.52 -0.0 -0.0
998 22.54 -0.0 -0.0
999 22.56 -0.0 -0.0
1000 22.58 -0.0 -0.0
1001 22.6 -0.0 -0.0
