Position data for MD simulation
1486 2 17.851769 11.814566 38.993316
1487 2 17.462813 19.682678 38.897175
1488 1 10.196274 17.635782 40.01702
1489 1 15.794704 19.933758 40.593806
1490 1 13.623324 19.96418 41.666527
1491 1 16.062148 16.208256 42.990991
1492 1 11.85899 19.925144 37.348639
1493 1 15.774872 19.706207 37.411377
1494 1 17.7504 10.045723 37.308436
1495 1 19.664742 12.216454 37.664775
1496 1 19.692813 19.480406 37.795645
1497 2 10.00759 15.837206 41.594736
1498 1 19.809318 15.99464 40.503232
1499 2 19.928759 13.987064 41.700976
1500 2 19.876034 10.2697 41.811254
1501 1 15.810596 11.847906 43.039184
1502 1 17.850382 18.207931 43.030113
1503 1 4.107988 20.407182 5.988628
1504 1 3.768506 20.09816 0.318536
1505 1 2.011993 22.316643 3.048533
1506 2 2.095762 24.551913 4.627899
1507 1 2.070187 22.39723 6.017969
1508 2 9.899009 23.873698 1.349876
1509 2 1.731893 24.198791 1.40594
1510 1 1.796404 26.436802 3.071274
1511 2 2.008528 27.899228 4.699147
1512 1 1.837827 26.260891 6.262474
1513 1 9.819763 21.659812 0.190133
1514 2 1.7913 28.182988 1.257384
1515 1 5.888963 26.094921 0.043171
1516 2 4.034379 22.180026 4.181548
1517 1 0.095656 24.252413 6.147983
1518 1 4.011578 22.169925 1.444634
1519 1 3.987336 24.098949 2.664356
1520 1 3.871192 26.181066 4.744939
1521 1 3.823545 24.182331 5.99387
1522 1 1.710292 29.830913 5.879213
1523 2 3.805746 26.024046 1.270436
1524 1 3.64429 28.094123 2.744639
1525 1 3.767198 27.894883 6.138659
1526 2 7.600764 29.750391 1.251973
1527 1 5.988725 22.214157 2.902374
1528 2 5.60787 24.108365 4.707596
1529 1 5.822077 22.083124 5.772245
1530 2 1.981838 20.353752 1.74856
1531 2 6.357512 24.073108 1.501896
1532 1 5.580268 26.318452 3.15322
1533 2 5.366378 28.110916 4.421925
1534 1 5.885939 26.091408 5.895252
1535 1 9.699479 28.00119 1.183512
1536 1 5.499191 28.273786 1.165694
1537 1 9.765183 25.847505 2.864707
1538 2 7.66478 22.05978 4.481562
1539 2 9.831919 28.014507 4.179461
1540 1 8.169166 22.47852 1.40642
1541 1 7.998203 24.343327 2.929822
1542 2 7.777317 26.186557 4.306539
1543 1 7.930218 24.167606 5.560744
1544 1 0.248358 20.239568 0.443346
1545 1 9.765808 21.938585 5.996297
1546 2 7.59729 26.474168 1.564619
1547 1 7.614238 28.377794 3.451129
1548 1 7.812861 27.910823 5.856537
1549 1 6.057109 20.060035 4.348722
1550 2 9.811932 28.254436 7.029628
1551 1 9.744698 26.14126 5.791563
1552 1 9.601044 21.982992 3.120458
1553 1 4.008316 20.063167 3.401198
1554 2 9.7421 20.209417 4.399962
1555 1 9.820731 29.850341 5.483725
1556 2 6.061343 20.607617 1.338031
1557 1 1.978031 20.171988 4.603098
1558 1 9.558714 25.933136 0.129654
1559 1 8.071389 29.917327 6.986994
1560 1 6.163768 22.50553 0.006003
1561 2 6.007795 20.079574 7.167913
1562 1 9.718069 24.165734 7.103749
1563 1 3.916613 24.076552 0.160674
1564 1 9.955227 29.970774 2.672596
1565 2 9.900763 23.983728 4.61632
1566 1 0.02951 24.068453 3.216605
1567 1 9.568294 22.049309 8.819491
1568 2 9.923854 20.07918 7.506722
1569 1 2.117091 22.154249 8.776653
1570 1 1.850306 24.179056 10.187704
1571 1 1.912918 22.131621 11.52286
1572 2 1.781417 24.048265 12.732305
1573 1 3.938726 29.953112 12.902023
1574 1 1.914326 26.271028 9.074405
1575 1 1.910852 28.11882 10.342118
1576 1 2.031616 26.296056 11.564944
1577 2 2.059644 28.148485 12.995384
1578 1 9.888449 26.261544 8.462006
1579 2 1.852801 24.250547 7.574913
1580 2 5.821977 28.043903 7.301448
1581 2 4.024275 21.972697 10.598863
1582 2 4.166897 22.21562 7.327714
1583 2 3.765466 21.917376 13.245177
1584 2 2.189313 20.058403 7.463856
1585 1 4.081433 23.902556 9.003157
1586 2 3.787405 25.798564 10.699617
1587 1 3.803935 23.757274 11.916233
1588 1 3.676078 25.777133 13.195798
1589 1 4.24183 27.981527 8.916286
1590 2 2.153619 28.116973 7.704656
1591 1 4.216593 28.056921 11.314224
1592 2 1.952102 20.097829 13.121022
1593 1 3.699649 26.074575 7.530743
1594 1 6.11637 29.940919 8.609168
1595 1 6.152375 24.091522 7.235466
1596 1 6.030985 22.180194 9.008649
1597 1 5.951152 23.819133 10.515087
1598 1 5.914399 21.718173 12.069102
1599 2 6.067896 23.918464 13.13886
1600 1 5.680694 25.888173 8.822431
1601 2 6.165529 27.846076 10.197668
1602 1 6.078124 25.818041 11.730892
1603 2 5.908109 28.259278 12.951868
1604 2 7.80198 22.069474 7.309736
1605 1 10.026621 28.006698 12.935889
1606 1 4.132809 20.22288 8.738175
1607 2 7.731368 22.196687 10.853151
1608 1 7.984014 28.232226 11.490523
1609 1 7.985996 21.964043 13.374866
1610 1 7.804515 23.858217 9.02435
1611 1 8.02702 26.068931 10.127307
1612 1 8.276498 24.269235 11.784555
1613 2 8.042903 26.344812 12.608585
1614 2 0.005794 29.887732 10.256575
1615 1 8.040219 27.955241 8.647688
1616 1 7.873805 28.185121 14.316246
1617 1 4.215512 27.841201 14.346548
1618 1 8.238095 24.434224 14.285662
1619 1 7.901535 20.173251 8.5775
1620 2 7.657744 26.052363 7.242487
1621 1 6.038275 26.017102 14.186847
1622 1 0.164389 29.813973 13.094589
1623 1 3.882146 23.788249 14.601897
1624 2 -0.016804 25.589876 18.45825
1625 2 1.951828 23.752491 15.902488
1626 1 1.505012 21.491016 17.119949
1627 1 1.706922 23.756816 18.548114
1628 1 1.851472 21.731988 19.792479
1629 2 2.074299 27.752553 16.160407
1630 1 2.198143 25.670262 17.245613
1631 2 1.84764 28.108857 18.760172
1632 1 2.071995 25.80247 19.957833
1633 2 3.766005 22.020661 21.380883
1634 1 3.742674 21.647725 15.830128
1635 1 8.017652 20.111895 14.806999
1636 2 3.569106 21.872971 18.460954
1637 1 7.858333 24.260974 20.203674
1638 2 4.172261 25.828634 15.798076
1639 1 4.100438 23.999769 17.251915
1640 2 4.031277 25.981189 18.75427
1641 1 3.706984 23.666457 19.718265
1642 1 7.957248 20.072064 20.077888
1643 1 1.94413 25.89536 14.647248
1644 1 4.098464 27.801544 17.41234
1645 2 1.88225 23.768182 21.592261
1646 1 4.236229 27.827144 20.3553
1647 1 6.040464 29.622309 20.104138
1648 2 7.837741 22.006766 21.535832
1649 1 8.130354 24.282017 17.071607
1650 1 6.447533 23.843891 15.695103
1651 1 5.713908 22.025098 17.35158
1652 2 5.754402 23.963755 19.018183
1653 1 5.727948 21.902741 20.083425
1654 1 9.565764 22.130696 14.583613
1655 1 5.958427 27.869813 15.895809
1656 1 6.290135 25.946029 17.301952
1657 1 6.455453 28.034433 18.510708
1658 1 6.135518 26.183842 20.013719
1659 2 8.25736 26.12088 18.647212
1660 1 8.239028 28.084696 20.260867
1661 1 7.678786 20.248223 17.298736
1662 2 7.993555 22.160973 16.202126
1663 1 8.522429 28.081441 17.374038
1664 1 7.936863 22.354279 18.732232
1665 2 7.877869 25.980583 15.800017
1666 1 2.246678 29.919244 14.651918
1667 1 -0.006005 24.083239 20.202106
1668 1 0.142993 23.660163 14.460408
1669 2 3.985192 29.854525 18.864418
1670 2 3.797315 29.796365 16.062848
1671 1 5.913986 21.739554 14.704079
1672 2 4.011668 25.569047 21.481031
1673 1 5.731972 29.748195 14.637249
1674 1 0.181241 21.864237 21.281947
1675 2 9.84836 24.044951 21.416539
1676 1 0.197154 28.066049 14.731568
1677 2 7.613573 29.842921 15.785298
1678 1 0.230473 29.867522 16.320891
1679 1 1.659956 21.980013 14.428722
1680 1 3.881045 19.985587 17.422712
1681 2 1.95492 27.632268 21.156017
1682 1 9.879059 22.069976 20.066857
1683 2 9.957132 24.157236 18.740873
1684 1 9.972883 26.077349 16.913599
1685 1 -0.028521 26.01496 27.370237
1686 1 1.853142 21.856085 23.144749
1687 2 1.858391 24.143262 24.54091
1688 1 1.92322 22.037958 26.014344
1689 1 1.873581 24.120193 27.327097
1690 1 9.990413 29.853539 23.150967
1691 2 2.156915 20.057605 24.641169
1692 1 1.872531 26.071029 22.99689
1693 2 1.867105 28.277687 24.264818
1694 1 1.796793 26.121277 25.868141
1695 2 2.219264 28.16962 27.188775
1696 2 9.732986 23.902812 24.688554
1697 1 5.98242 29.65784 25.757328
1698 2 4.017529 21.730676 24.661145
1699 2 4.314291 22.245683 27.341092
1700 2 7.991609 29.927363 21.702937
1701 1 3.894338 23.823029 23.198057
1702 2 3.78793 25.866958 24.56181
1703 1 4.006697 23.819955 25.72629
1704 1 3.957079 26.004901 27.249062
1705 1 6.232741 27.830565 21.763627
1706 1 4.033783 27.915245 22.999947
1707 1 0.087599 23.891831 22.90203
1708 1 4.159443 27.875043 25.675795
1709 1 9.876173 23.912808 27.278585
1710 1 8.008994 29.708361 24.496986
1711 1 5.796043 22.016157 22.850676
1712 2 6.028853 23.990126 24.403856
1713 1 6.34985 22.058572 25.909456
1714 1 5.997938 23.949506 27.544455
1715 2 9.972938 20.0169 27.489172
1716 1 5.703997 25.711756 23.09432
1717 2 6.280153 27.688392 24.474129
1718 1 5.849202 25.758661 25.982363
1719 2 5.933837 27.749401 27.395382
1720 1 3.845896 20.13447 26.326059
1721 1 1.926669 29.939905 28.626722
1722 1 7.922929 22.1633 24.335514
1723 2 8.344669 22.25109 27.215609
1724 2 8.071558 26.117467 21.751054
1725 1 7.968057 24.030988 22.727487
1726 1 7.880729 25.822015 24.453191
1727 1 7.761149 24.101212 25.874457
1728 2 8.001074 25.678691 27.331612
1729 1 8.199395 27.998508 23.147257
1730 1 7.958944 27.762717 25.92964
1731 2 6.105711 19.923887 27.319612
1732 2 8.311788 29.835697 27.460372
1733 1 0.010508 25.892668 24.309353
1734 1 8.223805 20.060932 22.851601
1735 1 8.056356 20.284564 28.761815
1736 1 9.690116 27.803495 27.615456
1737 1 9.827582 22.075609 22.638185
1738 1 0.04681 27.870388 25.583825
1739 2 1.854514 20.151336 27.561133
1740 1 8.263011 20.002518 25.592661
1741 1 4.010108 28.120308 28.682348
1742 1 4.038857 20.312972 22.905849
1743 1 9.936797 25.964221 25.928985
1744 1 6.025882 23.88417 21.581659
1745 1 3.805126 30.001547 27.08934
1746 2 0.07273 21.960847 24.37018
1747 1 1.895644 26.384693 28.706559
1748 1 3.973338 20.046254 28.828471
1749 2 2.062567 24.228136 30.021257
1750 1 1.71488 22.389667 31.554345
1751 2 1.710711 24.177152 33.102241
1752 1 1.903556 22.160127 34.502956
1753 1 1.9016 20.054825 30.474201
1754 1 9.988601 28.278532 35.634559
1755 2 2.059531 28.141742 30.285317
1756 1 2.166188 25.939949 31.766467
1757 2 1.782776 27.861324 33.096923
1758 1 2.007715 26.043647 34.626648
1759 1 2.112761 22.206478 28.87838
1760 1 6.055448 20.11086 29.957697
1761 1 4.014678 21.859799 30.257101
1762 2 3.644462 21.937609 32.723645
1763 1 6.238875 22.113861 29.07192
1764 1 3.990113 26.08837 30.278662
1765 1 3.694434 23.661017 31.555725
1766 1 4.023399 25.873572 33.1937
1767 1 3.661761 23.800911 34.557013
1768 1 0.037659 27.733238 34.583867
1769 1 3.905879 27.969139 31.838347
1770 2 9.854146 28.058626 30.296512
1771 1 3.779252 28.116412 34.495303
1772 1 9.896008 23.604726 30.76787
1773 1 5.834675 29.939037 28.667512
1774 2 5.776089 24.020213 30.371621
1775 1 5.904354 22.03533 31.674341
1776 2 5.555846 24.041033 33.033625
1777 1 5.320865 21.956109 34.328935
1778 1 4.014827 24.047016 29.023606
1779 1 8.135704 24.045338 28.967134
1780 2 5.838501 28.161605 30.300142
1781 1 6.028928 25.762962 31.778482
1782 2 5.949245 27.840682 33.103347
1783 1 6.362363 25.902461 34.39925
1784 1 7.81058 20.070316 34.587706
1785 2 9.903459 27.99613 33.001775
1786 1 0.232461 28.190603 28.813738
1787 2 8.234656 21.917561 30.419501
1788 2 7.904954 21.779034 32.964622
1789 1 7.852524 27.919044 34.569765
1790 1 7.595396 28.048353 31.625959
1791 2 7.925112 25.887627 30.394049
1792 1 7.728644 23.97055 31.916084
1793 1 8.515126 26.113194 32.84505
1794 1 7.87091 24.018792 34.546662
1795 1 5.909818 25.850381 28.937903
1796 1 1.855525 29.676343 34.402837
1797 2 1.806439 20.090666 33.039472
1798 1 7.815372 27.873969 28.973443
1799 1 -0.02518 25.867262 33.08217
1800 1 3.939606 30.030686 30.487508
1801 2 9.865144 23.649709 33.392389
1802 2 5.779526 24.002128 35.664124
1803 1 4.247465 25.982549 35.80953
1804 1 0.012022 24.158979 31.494615
1805 1 5.845287 29.969937 34.69315
1806 2 8.436976 26.046465 35.817561
1807 1 7.795622 29.898607 30.128644
1808 2 7.768617 22.215251 35.856895
1809 2 7.93569 29.886699 33.196602
1810 1 9.883607 29.838353 28.975335
1811 1 1.946835 22.280384 43.066776
1812 1 1.809398 21.863784 37.34337
1813 1 1.976036 23.841911 38.755625
1814 1 1.767727 21.824198 40.56452
1815 2 2.083742 24.029053 41.450421
1816 1 7.673731 20.199299 40.455877
1817 1 3.883739 20.063979 37.43537
1818 1 1.962857 26.015373 37.239011
1819 1 1.855742 27.865871 38.783671
1820 1 1.946136 26.114415 40.445845
1821 2 1.342698 28.356759 41.677946
1822 1 3.866247 20.162337 40.622125
1823 2 3.812973 22.128926 36.114766
1824 2 3.760552 22.028975 39.129353
1825 1 0.120133 23.847195 42.944885
1826 2 4.069006 22.075437 41.863068
1827 1 5.907632 20.36903 38.501592
1828 1 7.614067 27.968649 40.109559
1829 1 3.897056 23.931653 37.406176
1830 2 3.67424 25.831572 38.858188
1831 1 3.697155 23.98423 40.178372
1832 1 3.958999 25.902285 41.773782
1833 1 9.702453 23.999789 36.048473
1834 1 3.862301 28.11303 37.453615
1835 1 3.835868 28.048802 40.57469
1836 2 5.854804 27.776995 36.005821
1837 1 2.018496 25.837414 42.987148
1838 1 9.960693 25.630934 40.389307
1839 1 5.93268 22.351558 37.363635
1840 2 5.893761 24.161725 38.918752
1841 1 5.808679 22.051292 40.511129
1842 2 5.792864 24.116392 41.554559
1843 1 9.64084 21.675057 37.276932
1844 1 7.878713 27.9153 37.259426
1845 1 6.175937 25.901323 37.471311
1846 2 5.668787 27.931006 38.872038
1847 1 5.833656 25.947867 40.073284
1848 1 5.883119 28.188772 41.564271
1849 1 1.968623 29.760132 37.440712
1850 1 9.720776 21.931094 39.953354
1851 2 7.71657 22.068573 38.940437
1852 2 7.898218 26.165005 41.361678
1853 2 8.069464 22.281116 41.639197
1854 1 7.671941 23.931719 37.325285
1855 2 8.224025 25.910081 38.501705
1856 1 7.708054 24.12057 40.424826
1857 1 3.73122 28.006194 42.903257
1858 2 5.75438 20.111404 41.853219
1859 1 9.831402 27.825768 38.818019
1860 1 7.702614 27.990192 42.759806
1861 1 7.820889 20.318748 42.936774
1862 1 1.696378 24.07867 36.051323
1863 2 1.929861 28.112364 36.261692
1864 2 5.747452 20.123867 36.071437
1865 2 9.856877 23.914266 38.695016
1866 2 7.756468 29.813429 38.680181
1867 1 7.682461 20.159018 37.348845
1868 2 9.776865 19.989829 38.744389
1869 1 9.815791 23.652977 41.622566
1870 1 7.858893 24.330568 42.982576
1871 2 8.002454 29.899258 41.430193
1872 1 0.077683 20.128085 37.436998
1873 2 1.626697 20.07364 41.83293
1874 1 1.777573 31.918884 4.516148
1875 1 0.224503 39.97377 2.747323
1876 1 2.112303 39.817069 4.528393
1877 2 1.981899 32.150865 1.347891
1878 1 2.322442 33.979858 3.19387
1879 2 2.096374 36.191635 4.230691
1880 1 1.999648 34.152278 5.938815
1881 1 1.73114 30.291033 2.935219
1882 1 3.665367 29.983954 1.275677
1883 2 1.943018 36.004664 1.697384
1884 1 2.019378 38.176143 2.972324
1885 1 2.19126 37.889176 5.917314
1886 1 0.019605 35.984478 3.104091
1887 2 7.787834 30.403461 4.344497
1888 1 6.050812 33.918162 -0.027918
1889 1 3.814711 31.691419 2.816277
1890 2 4.20332 33.715468 4.180703
1891 1 3.914581 32.066382 5.971622
1892 2 3.895933 33.805468 1.20281
1893 1 4.340385 35.802877 2.943593
1894 1 4.271659 37.949305 4.314292
1895 1 4.068788 35.686982 5.513423
1896 2 4.190929 37.662517 7.182865
1897 2 4.200636 38.226632 1.691189
1898 1 9.716958 31.962759 4.249426
1899 1 5.810481 32.019245 4.382481
1900 1 5.938979 35.885235 7.16864
1901 1 0.267384 35.760048 6.061532
1902 2 6.018619 31.95181 1.612974
1903 1 5.938914 34.057443 2.77635
1904 2 6.183116 36.065698 4.376274
1905 1 6.089476 34.019022 5.411901
1906 1 6.359106 35.990867 1.578601
1907 1 6.152011 38.058648 2.943561
1908 1 5.711164 30.034724 2.988084
1909 1 6.045542 37.798257 5.727308
1910 1 8.009398 36.153578 0.053676
1911 1 0.238276 33.896375 4.533811
1912 1 7.902329 32.340963 2.922426
1913 2 8.222407 34.13168 4.116176
1914 1 7.936717 32.22354 5.888103
1915 2 8.123641 38.41175 1.891536
1916 2 7.927555 34.06589 1.21075
1917 1 8.412195 35.913547 2.85742
1918 1 8.139566 38.142702 4.120627
1919 1 8.317254 36.194514 5.407003
1920 1 4.034964 36.04412 0.47011
1921 2 3.83481 30.240395 4.561724
1922 2 0.249553 38.107374 7.140438
1923 1 2.126706 37.874136 0.15149
1924 1 9.770714 33.872567 5.735309
1925 1 7.651907 31.89674 -0.001589
1926 1 6.265497 38.190114 0.387488
1927 2 0.091323 38.034686 1.579889
1928 1 6.013525 30.091058 5.903567
1929 2 9.613745 31.989409 1.558474
1930 1 9.893134 38.099463 -0.000176
1931 1 0.012372 34.088485 1.353111
1932 1 1.957372 34.025261 0.135755
1933 1 9.930552 30.036571 0.064988
1934 1 1.356847 30.09059 0.587218
1935 2 2.165378 39.90345 7.155948
1936 1 9.928802 38.103943 5.693619
1937 1 4.231897 39.892291 5.78739
1938 2 3.93426 34.036259 7.069656
1939 2 2.074177 32.270109 10.089125
1940 1 3.932043 30.108354 7.345143
1941 2 1.820986 31.836134 13.124076
1942 1 1.929382 34.316614 8.776464
1943 2 2.083627 36.058658 10.081855
1944 1 1.997221 33.916084 11.577718
1945 1 2.267799 35.662279 13.073333
1946 2 4.209744 30.111608 9.908398
1947 1 2.104601 38.082098 8.735584
1948 2 8.24053 38.05696 7.216926
1949 1 2.109203 38.067126 11.734018
1950 2 0.042241 38.005125 10.32451
1951 1 1.957287 39.865839 10.426779
1952 2 8.203196 30.05132 9.912922
1953 1 2.246349 30.143579 11.639665
1954 1 4.199959 32.106503 8.70465
1955 1 3.976417 34.112906 10.198306
1956 1 3.884958 31.967651 11.562891
1957 2 4.063522 34.032621 13.004991
1958 1 4.232266 36.19468 8.962151
1959 2 4.097197 38.230412 10.13239
1960 1 4.118617 35.849094 11.679739
1961 2 4.350691 37.885411 12.898671
1962 1 6.201046 32.417633 10.15369
1963 2 5.816252 31.722772 13.101456
1964 1 6.157578 39.769939 7.197304
1965 1 6.184596 34.126547 8.504052
1966 2 6.346713 35.703957 10.195727
1967 1 6.288059 33.992499 11.799552
1968 1 6.483281 35.967443 12.860859
1969 2 7.835082 34.145462 7.179037
1970 1 6.256423 37.691882 8.993285
1971 1 6.2337 37.988064 11.537765
1972 2 9.772215 31.919829 7.180665
1973 1 7.981132 32.165581 14.333143
1974 1 2.309997 36.061233 7.359038
1975 1 4.433034 36.045633 14.35862
1976 1 7.955328 32.223129 8.507808
1977 2 8.286523 34.141907 10.013388
1978 1 7.939052 31.949186 11.600717
1979 1 8.104476 34.231193 13.030137
1980 2 1.884476 31.865234 7.19113
1981 1 8.333692 36.082489 8.414603
1982 2 8.168537 38.03579 10.329742
1983 1 8.420403 35.985684 11.517078
1984 1 8.327179 38.029547 12.910471
1985 2 6.20532 31.903657 7.381951
1986 2 0.085009 37.638839 13.154459
1987 1 7.552329 30.251663 13.212821
1988 2 2.355047 39.830169 13.072665
1989 1 0.148785 31.885164 11.209718
1990 1 1.848807 30.245173 8.940225
1991 1 0.166389 36.076965 8.575072
1992 1 5.894085 30.228735 11.200379
1993 1 0.232408 36.202468 11.578646
1994 1 2.4752 37.687884 14.341623
1995 1 0.334254 39.866494 8.663952
1996 1 0.04027 39.756099 11.961945
1997 1 0.083418 34.195005 10.175316
1998 2 0.043097 34.005541 7.193221
1999 2 0.052476 33.834131 12.929227
2000 1 8.114393 39.929142 8.406226
2001 1 6.281515 37.719535 14.225496
2002 2 9.768912 32.130689 12.866513
2003 1 9.864669 32.192496 10.045288
2004 1 0.028148 32.153045 8.783822
2005 2 6.417236 39.879341 13.202851
2006 1 8.005375 39.836615 20.349358
2007 2 2.017709 31.870952 15.889762
2008 2 7.716399 30.062983 18.430151
2009 2 2.119264 32.351346 19.061283
2010 2 6.658976 39.77428 18.733464
2011 2 2.321302 35.607604 15.702355
2012 1 1.966843 34.024507 17.339235
2013 2 2.33321 35.646813 18.814154
2014 1 1.794484 34.194282 20.582509
2015 1 1.984336 29.928657 17.680043
2016 1 2.238075 37.571948 17.445144
2017 1 4.466772 39.923317 17.544828
2018 1 2.072213 37.924398 20.106708
2019 1 3.990864 31.761546 14.785242
2020 1 4.020518 33.927189 15.729606
2021 1 3.897539 31.807357 17.561737
2022 1 4.265924 33.937397 18.871352
2023 1 4.376327 32.03663 20.389624
2024 1 6.400496 39.782735 15.767263
2025 2 4.461272 37.709843 15.835142
2026 1 4.42096 35.817684 17.119638
2027 2 4.054798 37.811976 18.867409
2028 1 3.994208 35.957797 20.233365
2029 1 1.972412 30.096734 20.271564
2030 1 5.988832 31.90054 15.667667
2031 2 6.100535 31.913125 18.798462
2032 1 0.28224 35.927235 17.246921
2033 1 9.878186 30.085685 17.138849
2034 1 6.416487 35.895999 15.857104
2035 2 5.962689 34.078738 16.936543
2036 1 6.325491 35.483857 19.110752
2037 1 6.245971 33.832167 20.618167
2038 1 6.042072 33.77268 14.335557
2039 1 6.090957 37.771252 17.365844
2040 1 9.965189 29.988789 20.309186
2041 1 6.076905 37.611337 20.045471
2042 1 5.896032 30.00014 17.243068
2043 1 8.07936 33.904732 15.859046
2044 1 8.054869 32.064974 17.179067
2045 1 8.005802 33.797373 18.711026
2046 1 8.057981 31.963545 20.146211
2047 2 0.309963 38.150861 18.320971
2048 1 4.115614 39.67221 20.110889
2049 2 8.081998 38.170352 15.777895
2050 2 7.937916 35.762545 17.421317
2051 1 8.272271 37.86978 18.956105
2052 1 8.283257 35.777381 20.31464
2053 2 9.912436 31.930176 18.604112
2054 1 2.15249 33.697753 14.456595
2055 1 0.288827 35.769857 14.514595
2056 1 9.431672 30.130483 14.363583
2057 1 0.624667 37.928674 15.889499
2058 1 0.369054 40.000083 14.57263
2059 2 5.942885 39.825627 21.411058
2060 1 9.76097 33.878497 17.458218
2061 2 0.14271 33.917279 15.694226
2062 2 2.613349 39.786493 15.882906
2063 1 0.15616 32.064048 17.607407
2064 1 0.501157 36.231429 19.757287
2065 2 7.853228 37.879054 21.493266
2066 1 8.40404 36.033982 14.443136
2067 1 5.978084 35.745639 21.414064
2068 1 2.414514 39.921406 21.485839
2069 1 8.394858 39.84133 17.231562
2070 1 9.943699 35.96533 16.415592
2071 1 0.443143 39.945872 19.844257
2072 1 2.061225 31.935792 21.723455
2073 1 3.88569 35.621503 28.577019
2074 2 2.088927 32.055939 24.330269
2075 1 4.068344 39.653474 23.276482
2076 2 1.909562 31.886527 27.256473
2077 1 1.70936 34.027754 23.095733
2078 2 2.059596 36.120977 24.385198
2079 1 2.245503 34.025003 25.76075
2080 2 1.897315 35.825444 27.352601
2081 1 7.825872 39.776887 23.331917
2082 1 2.029147 38.150342 23.234081
2083 1 1.972458 37.907764 25.936546
2084 2 2.063257 39.888554 24.774378
2085 2 3.781574 37.673682 21.727725
2086 2 5.839943 39.844069 24.71081
2087 1 3.937605 32.364188 23.009853
2088 1 3.866141 34.114507 24.741196
2089 1 3.839633 31.973255 25.775984
2090 2 4.041311 33.734605 27.160938
2091 1 6.228747 31.738192 21.688491
2092 1 4.084201 36.010309 23.12956
2093 1 4.19348 37.877102 24.559558
2094 1 3.907462 36.089638 26.01703
2095 2 4.05807 38.287048 27.293821
2096 1 9.883213 33.73196 25.95227
2097 2 5.889787 31.915222 24.496683
2098 2 4.13516 34.29663 21.723891
2099 2 5.749725 31.605744 27.116284
2100 1 6.009414 33.959539 23.158289
2101 2 6.076096 35.879547 24.515912
2102 1 5.982669 33.766074 26.12179
2103 2 5.885147 35.950202 27.387338
2104 1 1.796777 30.135078 25.746213
2105 1 6.124606 37.711414 22.871892
2106 1 1.547626 30.120301 23.079946
2107 1 6.255907 37.691773 26.08209
2108 1 3.782333 30.07425 24.329709
2109 1 5.944144 30.036014 23.015196
2110 1 1.765856 36.163599 21.680867
2111 1 8.082066 31.767652 23.284791
2112 1 7.833055 33.892502 24.48345
2113 1 7.978211 31.667571 25.917097
2114 2 8.154125 33.837398 27.638948
2115 2 8.092872 34.002873 21.879597
2116 1 7.948118 35.763214 23.10958
2117 1 8.002625 37.497165 24.587834
2118 1 7.971502 35.869606 26.171524
2119 2 8.22265 37.888422 27.164853
2120 1 0.014506 36.188646 23.229602
2121 1 9.838292 33.394946 23.334342
2122 2 3.907607 30.105581 22.023774
2123 1 2.119656 33.87822 28.431971
2124 1 9.966633 31.75226 27.489809
2125 2 9.945233 35.782854 24.464023
2126 1 6.109854 39.869434 26.950977
2127 1 9.861823 38.095982 23.224038
2128 1 0.095571 32.039591 25.870138
2129 2 0.116252 38.415726 27.475493
2130 2 2.195853 31.868464 30.27346
2131 1 1.740003 32.297553 33.426601
2132 1 2.051418 37.871701 28.780967
2133 1 6.431784 37.672269 28.724016
2134 2 1.872475 35.886835 30.176062
2135 1 1.936268 33.918987 31.779344
2136 2 2.086851 36.191595 32.985015
2137 1 1.972622 34.427544 34.900476
2138 1 7.456988 31.739183 28.760929
2139 1 2.251923 38.031199 31.350052
2140 1 1.988347 38.048714 34.627603
2141 1 8.120005 30.137134 35.782236
2142 2 0.140118 34.005069 29.927307
2143 2 4.068187 34.049192 30.386765
2144 1 3.91761 31.928728 31.754573
2145 2 3.925367 34.05355 33.057406
2146 1 4.060975 32.125704 34.618858
2147 2 0.120309 38.127024 30.111575
2148 2 4.389656 37.737807 29.782367
2149 1 4.014567 35.935647 31.588554
2150 1 3.767184 38.058523 33.160703
2151 1 4.028694 36.151246 34.666917
2152 1 8.034974 35.933146 28.769049
2153 1 5.804016 33.827931 28.736806
2154 2 5.713339 31.847721 30.39932
2155 2 6.04593 31.974297 33.073737
2156 2 3.934739 29.999177 33.121852
2157 1 6.008108 35.817976 29.993394
2158 1 5.872188 33.951808 31.791484
2159 2 5.977267 36.187704 33.04887
2160 1 5.619689 34.297625 34.438566
2161 1 5.917856 37.767149 31.546243
2162 1 5.732625 38.044823 34.727907
2163 2 0.029667 34.026592 33.573949
2164 2 7.833992 33.878136 30.122381
2165 1 7.904081 32.017925 31.461074
2166 2 7.881869 34.317204 33.230803
2167 1 7.948219 32.364006 34.562137
2168 1 7.986809 38.112538 30.298204
2169 1 7.971692 36.097475 31.429666
2170 2 8.149095 37.800234 33.154163
2171 1 7.885914 36.128757 34.928289
2172 1 9.949201 30.030075 34.299598
2173 1 0.140142 32.015066 28.804664
2174 2 0.302184 38.371031 35.846163
2175 1 0.026227 36.120945 28.720427
2176 1 9.985398 33.948986 28.851129
2177 1 4.074471 39.937191 31.832619
2178 1 8.134966 39.809347 34.705508
2179 1 1.861471 30.181617 31.863255
2180 1 4.011212 32.153178 28.770393
2181 2 9.71438 31.90521 29.963772
2182 2 9.966947 36.105686 30.179049
2183 1 7.770264 39.834253 28.847533
2184 2 2.020693 39.988643 33.080942
