 Noint=           31
    6.400000   -0.000232    0.001088
    6.600000   -0.000228    0.001415
    6.800000   -0.000208    0.001497
    7.000000   -0.000179    0.001442
    7.200000   -0.000148    0.001279
    7.400000   -0.000118    0.001116
    7.600000   -0.000092    0.000925
    7.800000   -0.000070    0.000735
    8.000000   -0.000052    0.000571
    8.200000   -0.000038    0.000463
 O U pfp 
          41
    0.200000   -0.092997   19.462997
    0.400000   -0.257123   40.423004
    0.600000   -0.352219   37.320580
    0.800000   -0.366117   26.212185
    1.000000   -0.332564   16.977890
    1.200000   -0.279901   10.797968
    1.400000   -0.225242    6.907692
    1.600000   -0.176177    4.484409
    1.800000   -0.135082    2.957660
    2.000000   -0.102111    1.979138
    2.200000   -0.076427    1.341358
    2.400000   -0.056792    0.918792
    2.600000   -0.041934    0.634651
    2.800000   -0.030753    0.441097
    3.000000   -0.022368    0.307734
    3.200000   -0.016102    0.214943
    3.400000   -0.011440    0.149799
    3.600000   -0.007992    0.103811
    3.800000   -0.005464    0.071239
    4.000000   -0.003632    0.048137
    4.200000   -0.002325    0.031837
    4.400000   -0.001410    0.020436
    4.600000   -0.000788    0.012572
    4.800000   -0.000378    0.007265
    5.000000   -0.000120    0.003782
    5.200000    0.000032    0.001578
    5.400000    0.000113    0.000245
    5.600000    0.000147   -0.000490
    5.800000    0.000152   -0.000844
    6.000000    0.000141   -0.000980
    6.200000    0.000123   -0.000952
    6.400000    0.000102   -0.000871
    6.600000    0.000082   -0.000735
    6.800000    0.000064   -0.000626
    7.000000    0.000048   -0.000490
    7.200000    0.000036   -0.000381
    7.400000    0.000026   -0.000299
    7.600000    0.000019   -0.000218
    7.800000    0.000013   -0.000163
    8.000000    0.000009   -0.000109
    8.200000    0.000006   -0.000082
 O O sss 
          41
    0.200000    0.958688  -54.251423
    0.400000    0.859209  -43.960049
    0.600000    0.726042  -36.262791
    0.800000    0.576621  -27.594984
    1.000000    0.432757  -19.517530
    1.200000    0.310392  -13.189658
    1.400000    0.215180   -8.669303
    1.600000    0.145583   -5.599967
    1.800000    0.096886   -3.578651
    2.000000    0.063781   -2.272096
    2.200000    0.041650   -1.436162
    2.400000    0.026982   -0.903853
    2.600000    0.017310   -0.565697
    2.800000    0.010971   -0.351462
    3.000000    0.006855   -0.216385
    3.200000    0.004217   -0.131785
    3.400000    0.002553   -0.079321
    3.600000    0.001522   -0.047130
    3.800000    0.000893   -0.027674
    4.000000    0.000517   -0.016055
    4.200000    0.000295   -0.009225
    4.400000    0.000167   -0.005252
    4.600000    0.000093   -0.002966
    4.800000    0.000051   -0.001660
    5.000000    0.000028   -0.000925
    5.200000    0.000015   -0.000517
    5.400000    0.000008   -0.000272
    5.600000    0.000004   -0.000163
    5.800000    0.000002   -0.000082
    6.000000    0.000001   -0.000054
    6.200000    0.000000   -0.000027
    6.400000    0.000000   -0.000000
    6.600000    0.000000   -0.000000
    6.800000    0.000000   -0.000000
    7.000000    0.000000   -0.000000
    7.200000    0.000000   -0.000000
    7.400000    0.000000   -0.000000
    7.600000    0.000000   -0.000000
    7.800000    0.000000   -0.000000
    8.000000    0.000000   -0.000000
    8.200000    0.000000   -0.000000
 O O sps 
          41
    0.200000   -0.216672    4.835708
    0.400000   -0.409855   20.885174
    0.600000   -0.514459   26.644245
    0.800000   -0.522813   24.105368
    1.000000   -0.469341   19.150475
    1.200000   -0.389656   14.362849
    1.400000   -0.307120   10.459485
    1.600000   -0.233607    7.485335
    1.800000   -0.173360    5.294846
    2.000000   -0.126362    3.711878
    2.200000   -0.090734    2.579993
    2.400000   -0.064181    1.775842
    2.600000   -0.044652    1.208104
    2.800000   -0.030496    0.810654
    3.000000   -0.020418    0.535792
    3.200000   -0.013395    0.348496
    3.400000   -0.008613    0.222997
    3.600000   -0.005433    0.140438
    3.800000   -0.003366    0.087131
    4.000000   -0.002051    0.053334
    4.200000   -0.001231    0.032273
    4.400000   -0.000727    0.019347
    4.600000   -0.000424    0.011510
    4.800000   -0.000243    0.006803
    5.000000   -0.000138    0.003973
    5.200000   -0.000077    0.002313
    5.400000   -0.000042    0.001333
    5.600000   -0.000022    0.000762
    5.800000   -0.000012    0.000408
    6.000000   -0.000006    0.000218
    6.200000   -0.000003    0.000136
    6.400000   -0.000002    0.000054
    6.600000   -0.000001    0.000027
    6.800000   -0.000000    0.000027
    7.000000   -0.000000    0.000000
    7.200000   -0.000000    0.000000
    7.400000   -0.000000    0.000000
    7.600000   -0.000000    0.000000
    7.800000   -0.000000    0.000000
    8.000000   -0.000000    0.000000
    8.200000   -0.000000    0.000000
 O O pps 
          41
    0.200000    0.810245  -38.687759
    0.400000    0.434115   -1.439482
    0.600000    0.106783   11.660568
    0.800000   -0.103006   13.405526
    1.000000   -0.209362   11.679997
    1.200000   -0.245979    9.364471
    1.400000   -0.241882    7.264270
    1.600000   -0.217430    5.542660
    1.800000   -0.185661    4.189792
    2.000000   -0.153628    3.150126
    2.200000   -0.124280    2.358383
    2.400000   -0.098472    1.756277
    2.600000   -0.076321    1.298119
    2.800000   -0.057758    0.950086
    3.000000   -0.042636    0.687305
    3.200000   -0.030699    0.490921
    3.400000   -0.021579    0.346020
    3.600000   -0.014826    0.240658
    3.800000   -0.009970    0.165228
    4.000000   -0.006571    0.112056
    4.200000   -0.004248    0.075158
    4.400000   -0.002696    0.049878
    4.600000   -0.001679    0.032735
    4.800000   -0.001026    0.021252
    5.000000   -0.000615    0.013606
    5.200000   -0.000361    0.008572
    5.400000   -0.000207    0.005333
    5.600000   -0.000117    0.003238
    5.800000   -0.000064    0.001932
    6.000000   -0.000034    0.001116
    6.200000   -0.000018    0.000626
    6.400000   -0.000009    0.000354
    6.600000   -0.000005    0.000190
    6.800000   -0.000002    0.000109
    7.000000   -0.000001    0.000054
    7.200000   -0.000000    0.000027
    7.400000   -0.000000    0.000000
    7.600000   -0.000000    0.000000
    7.800000   -0.000000    0.000000
    8.000000   -0.000000    0.000000
    8.200000   -0.000000    0.000000
 O O ppp 
          41
    0.200000    0.933601  -59.591030
    0.400000    0.779375  -38.370396
    0.600000    0.606754  -23.314306
    0.800000    0.453081  -14.195335
    1.000000    0.329780   -8.805034
    1.200000    0.236128   -5.571069
    1.400000    0.167202   -3.583359
    1.600000    0.117463   -2.333975
    1.800000    0.081992   -1.534096
    2.000000    0.056843   -1.014277
    2.200000    0.039068   -0.672339
    2.400000    0.026557   -0.445478
    2.600000    0.017814   -0.294264
    2.800000    0.011774   -0.193391
    3.000000    0.007662   -0.126288
    3.200000    0.004907   -0.081852
    3.400000    0.003093   -0.052627
    3.600000    0.001920   -0.033579
    3.800000    0.001174   -0.021252
    4.000000    0.000707   -0.013334
    4.200000    0.000419   -0.008299
    4.400000    0.000245   -0.005116
    4.600000    0.000141   -0.003102
    4.800000    0.000079   -0.001878
    5.000000    0.000044   -0.001116
    5.200000    0.000024   -0.000653
    5.400000    0.000013   -0.000381
    5.600000    0.000007   -0.000218
    5.800000    0.000003   -0.000109
    6.000000    0.000002   -0.000054
    6.200000    0.000001   -0.000027
    6.400000    0.000000   -0.000027
    6.600000    0.000000   -0.000000
    6.800000    0.000000   -0.000000
    7.000000    0.000000   -0.000000
    7.200000    0.000000   -0.000000
    7.400000    0.000000   -0.000000
    7.600000    0.000000   -0.000000
    7.800000    0.000000   -0.000000
    8.000000    0.000000   -0.000000
    8.200000    0.000000   -0.000000
 H O sss 
          49
    0.100000    0.963416  -37.918114
    0.200000    0.939954  -37.308414
    0.300000    0.900370  -35.253494
    0.400000    0.846085  -31.976643
    0.500000    0.780387  -28.225119
    0.600000    0.707474  -24.519854
    0.700000    0.631487  -21.083872
    0.800000    0.555947  -17.988304
    0.900000    0.483539  -15.245042
    1.000000    0.416117  -12.842794
    1.100000    0.354797  -10.759790
    1.200000    0.300095   -8.969390
    1.300000    0.252071   -7.442750
    1.400000    0.210466   -6.150508
    1.500000    0.174820   -5.063739
    1.600000    0.144562   -4.155151
    1.700000    0.119079   -3.399437
    1.800000    0.097761   -2.773820
    1.900000    0.080033   -2.258137
    2.000000    0.065366   -1.834728
    2.100000    0.053286   -1.488327
    2.200000    0.043377   -1.205873
    2.300000    0.035278   -0.976263
    2.400000    0.028676   -0.790110
    2.500000    0.023309   -0.639468
    2.600000    0.018953   -0.517805
    2.700000    0.015422   -0.419654
    2.800000    0.012561   -0.340496
    2.900000    0.010244   -0.276658
    3.000000    0.008366   -0.225174
    3.100000    0.006842   -0.183541
    3.200000    0.005603   -0.149880
    3.300000    0.004595   -0.122560
    3.400000    0.003772   -0.100356
    3.500000    0.003099   -0.082260
    3.600000    0.002547   -0.067484
    3.700000    0.002093   -0.055375
    3.800000    0.001719   -0.045443
    3.900000    0.001411   -0.037252
    4.000000    0.001157   -0.030504
    4.100000    0.000946   -0.024953
    4.200000    0.000772   -0.020354
    4.300000    0.000628   -0.016572
    4.400000    0.000509   -0.013442
    4.500000    0.000410   -0.010857
    4.600000    0.000329   -0.008708
    4.700000    0.000262   -0.006966
    4.800000    0.000207   -0.005497
    4.900000    0.000162   -0.004327
 H O sps 
          49
    0.100000   -0.150325    5.746473
    0.200000   -0.283669   10.419023
    0.300000   -0.389279   13.083316
    0.400000   -0.463716   14.121457
    0.500000   -0.508482   14.148642
    0.600000   -0.527605   13.554808
    0.700000   -0.526091   12.599334
    0.800000   -0.509043   11.470252
    0.900000   -0.481152   10.292870
    1.000000   -0.446438    9.141149
    1.100000   -0.408136    8.054679
    1.200000   -0.368692    7.052919
    1.300000   -0.329847    6.143759
    1.400000   -0.292750    5.328424
    1.500000   -0.258094    4.604030
    1.600000   -0.226242    3.965271
    1.700000   -0.197327    3.405478
    1.800000   -0.171338    2.917360
    1.900000   -0.148167    2.493624
    2.000000   -0.127654    2.127168
    2.100000   -0.109604    1.811299
    2.200000   -0.093812    1.539865
    2.300000   -0.080066    1.307235
    2.400000   -0.068158    1.108347
    2.500000   -0.057886    0.938657
    2.600000   -0.049063    0.794164
    2.700000   -0.041512    0.671305
    2.800000   -0.035071    0.567004
    2.900000   -0.029595    0.478512
    3.000000   -0.024951    0.403572
    3.100000   -0.021024    0.340115
    3.200000   -0.017709    0.286454
    3.300000   -0.014917    0.241093
    3.400000   -0.012569    0.202806
    3.500000   -0.010595    0.170507
    3.600000   -0.008939    0.143295
    3.700000   -0.007548    0.120383
    3.800000   -0.006381    0.101118
    3.900000   -0.005401    0.084927
    4.000000   -0.004577    0.071348
    4.100000   -0.003884    0.059974
    4.200000   -0.003300    0.050450
    4.300000   -0.002807    0.042477
    4.400000   -0.002391    0.035837
    4.500000   -0.002037    0.030341
    4.600000   -0.001737    0.025796
    4.700000   -0.001482    0.022123
    4.800000   -0.001265    0.019130
    4.900000   -0.001079    0.016708
 H H sss 
          51
    0.100000    0.988129  -16.296545
    0.200000    0.954100  -15.312119
    0.300000    0.901931  -14.104914
    0.400000    0.836648  -12.870822
    0.500000    0.763234  -11.670963
    0.600000    0.686109  -10.522643
    0.700000    0.608902   -9.430623
    0.800000    0.534388   -8.395583
    0.900000    0.464512   -7.418994
    1.000000    0.400479   -6.504855
    1.100000    0.342878   -5.658689
    1.200000    0.291832   -4.885777
    1.300000    0.247136   -4.189492
    1.400000    0.208376   -3.570624
    1.500000    0.175031   -3.027294
    1.600000    0.146534   -2.555449
    1.700000    0.122319   -2.149318
    1.800000    0.101849   -1.802292
    1.900000    0.084626   -1.507402
    2.000000    0.070198   -1.257874
    2.100000    0.058161   -1.047502
    2.200000    0.048157   -0.870601
    2.300000    0.039869   -0.722299
    2.400000    0.033023   -0.598270
    2.500000    0.027378   -0.494839
    2.600000    0.022730   -0.408851
    2.700000    0.018905   -0.337557
    2.800000    0.015755   -0.278617
    2.900000    0.013159   -0.230018
    3.000000    0.011014   -0.189990
    3.100000    0.009237   -0.157119
    3.200000    0.007761   -0.130070
    3.300000    0.006530   -0.107866
    3.400000    0.005501   -0.089607
    3.500000    0.004636   -0.074559
    3.600000    0.003908   -0.062124
    3.700000    0.003292   -0.051838
    3.800000    0.002771   -0.043321
    3.900000    0.002330   -0.036218
    4.000000    0.001954   -0.030286
    4.100000    0.001636   -0.025334
    4.200000    0.001365   -0.021170
    4.300000    0.001135   -0.017687
    4.400000    0.000940   -0.014721
    4.500000    0.000775   -0.012245
    4.600000    0.000635   -0.010150
    4.700000    0.000518   -0.008408
    4.800000    0.000419   -0.006912
    4.900000    0.000337   -0.005796
    5.000000    0.000268   -0.004735
    5.100000    0.000211   -0.003837
 H U sss 
          49
    0.100000   -0.141569    6.770193
    0.200000   -0.133044    6.963857
    0.300000   -0.118215    7.224704
    0.400000   -0.096332    7.381878
    0.500000   -0.066964    7.249521
    0.600000   -0.030586    6.716260
    0.700000    0.011196    5.802556
    0.800000    0.055917    4.635541
    0.900000    0.100798    3.372879
    1.000000    0.143256    2.144992
    1.100000    0.181232    1.035284
    1.200000    0.213306    0.085280
    1.300000    0.238701   -0.692639
    1.400000    0.257190   -1.303589
    1.500000    0.268990   -1.762264
    1.600000    0.274634   -2.087712
    1.700000    0.274855   -2.300451
    1.800000    0.270489   -2.420344
    1.900000    0.262393   -2.465651
    2.000000    0.251395   -2.452481
    2.100000    0.238254   -2.394575
    2.200000    0.223640   -2.303553
    2.300000    0.208131   -2.188938
    2.400000    0.192208   -2.058568
    2.500000    0.176264   -1.918702
    2.600000    0.160610   -1.774346
    2.700000    0.145486   -1.629472
    2.800000    0.131069   -1.487021
    2.900000    0.117485   -1.349331
    3.000000    0.104812   -1.217955
    3.100000    0.093095   -1.094061
    3.200000    0.082348   -0.978331
    3.300000    0.072561   -0.871145
    3.400000    0.063705   -0.772613
    3.500000    0.055742   -0.682625
    3.600000    0.048618   -0.600991
    3.700000    0.042279   -0.527329
    3.800000    0.036664   -0.461206
    3.900000    0.031711   -0.402184
    4.000000    0.027359   -0.349694
    4.100000    0.023551   -0.303271
    4.200000    0.020228   -0.262427
    4.300000    0.017339   -0.226644
    4.400000    0.014834   -0.195541
    4.500000    0.012667   -0.168711
    4.600000    0.010798   -0.145826
    4.700000    0.009190   -0.126615
    4.800000    0.007809   -0.110778
    4.900000    0.006625   -0.097716
 H U sds 
          49
    0.100000   -0.008113    0.100165
    0.200000   -0.031995    0.424334
    0.300000   -0.070225    1.021624
    0.400000   -0.120280    1.901260
    0.500000   -0.178432    2.983728
    0.600000   -0.240000    4.116919
    0.700000   -0.300040    5.138870
    0.800000   -0.354161    5.940191
    0.900000   -0.399089    6.482432
    1.000000   -0.432859    6.778601
    1.100000   -0.454733    6.866221
    1.200000   -0.464976    6.789431
    1.300000   -0.464600    6.589673
    1.400000   -0.455103    6.302184
    1.500000   -0.438230    5.955293
    1.600000   -0.415774    5.571286
    1.700000   -0.389437    5.167279
    1.800000   -0.360733    4.756360
    1.900000   -0.330937    4.348407
    2.000000   -0.301072    3.950848
    2.100000   -0.271924    3.569181
    2.200000   -0.244060    3.207379
    2.300000   -0.217863    2.868080
    2.400000   -0.193567    2.553054
    2.500000   -0.171282    2.263062
    2.600000   -0.151031    1.998268
    2.700000   -0.132766    1.758264
    2.800000   -0.116397    1.542096
    2.900000   -0.101800    1.348624
    3.000000   -0.088837    1.176348
    3.100000   -0.077362    1.023692
    3.200000   -0.067231    0.888996
    3.300000   -0.058305    0.770572
    3.400000   -0.050453    0.666761
    3.500000   -0.043558    0.575983
    3.600000   -0.037511    0.496771
    3.700000   -0.032215    0.427736
    3.800000   -0.027586    0.367707
    3.900000   -0.023547    0.315489
    4.000000   -0.020030    0.270182
    4.100000   -0.016976    0.230834
    4.200000   -0.014331    0.196738
    4.300000   -0.012048    0.167241
    4.400000   -0.010083    0.141744
    4.500000   -0.008400    0.119785
    4.600000   -0.006964    0.100927
    4.700000   -0.005744    0.084927
    4.800000   -0.004711    0.071484
    4.900000   -0.003843    0.060355
 H U sfs 
          49
    0.100000   -0.001895    0.224902
    0.200000   -0.013519    1.639295
    0.300000   -0.038176    4.378693
    0.400000   -0.072176    7.207535
    0.500000   -0.109097    8.968192
    0.600000   -0.143707    9.490597
    0.700000   -0.172979    9.170401
    0.800000   -0.195415    8.422659
    0.900000   -0.210409    7.522261
    1.000000   -0.218070    6.620203
    1.100000   -0.219138    5.783562
    1.200000   -0.214784    5.032474
    1.300000   -0.206330    4.367482
    1.400000   -0.195031    3.783716
    1.500000   -0.181954    3.275434
    1.600000   -0.167943    2.835916
    1.700000   -0.153632    2.457542
    1.800000   -0.139481    2.132148
    1.900000   -0.125807    1.852088
    2.000000   -0.112819    1.610533
    2.100000   -0.100647    1.401631
    2.200000   -0.089362    1.220376
    2.300000   -0.078995    1.062686
    2.400000   -0.069548    0.925051
    2.500000   -0.061002    0.804668
    2.600000   -0.053321    0.699142
    2.700000   -0.046459    0.606569
    2.800000   -0.040359    0.525370
    2.900000   -0.034963    0.454240
    3.000000   -0.030206    0.392007
    3.100000   -0.026027    0.337639
    3.200000   -0.022363    0.290291
    3.300000   -0.019157    0.249093
    3.400000   -0.016356    0.213337
    3.500000   -0.013910    0.182343
    3.600000   -0.011776    0.155513
    3.700000   -0.009917    0.132329
    3.800000   -0.008299    0.112247
    3.900000   -0.006894    0.094913
    4.000000   -0.005677    0.079920
    4.100000   -0.004626    0.066940
    4.200000   -0.003721    0.055674
    4.300000   -0.002948    0.045906
    4.400000   -0.002290    0.037361
    4.500000   -0.001734    0.029905
    4.600000   -0.001269    0.023293
    4.700000   -0.000883    0.017442
    4.800000   -0.000567    0.012300
    4.900000   -0.000312    0.007973
